	Cna_KPL3804	Cke_YSMAA5_1_D11	Cna_MSK194	Cna_KPL4072	Cke_CTNIH24	Cna_KPL4035	Cna_KPL3649	Cna_MSK071	Cke_CTNIH27	Cna_MSK185	Cke_EYE_437	Cke_LK1134	Cke_FDAARGOS_1055	Cna_KPL2825	Cyo_KPL2619	Cyo_MSK136	Cyo_c21Ua_68	Cmq_KPL4083	Cmq_MSK144	Cmq_c19Ua_121	Ctu_DSM_44922	Ctu_SK141	Ctu_KPL3807	Ctu_MSK207	Ccu_CTNIH19	Ccu_c8Ua_181	Cha_CTNIH22	Cha_CTNIH20	Cha_CTNIH21	Cha_CTNIH23
Cna_KPL3804	1.0	0.9979590597	0.9978530877	0.9769177831	0.9761017005	0.9734537647	0.9823227038000001	0.9826107028000001	0.9761538754	0.9757621948	0.9768663747	0.9761664051000001	0.9794311491000001	0.9797246678	0.8992810125	0.8998390078	0.9002064744	0.8878296128000001	0.8845181437	0.8850239311	0.8873422455000001	0.8883393483	0.8838415343	0.8843796405000001	0.8659901429	0.8658076086000001	0.8732691848	0.871859327	0.8725596878	0.8718680634
Cke_YSMAA5_1_D11	0.9989744878000001	1.0	0.9989899876	0.9774119238000001	0.9769157524000001	0.9748710093	0.9832811934000001	0.9836504335	0.9768973188000001	0.9765099202	0.9778056811	0.9766767824	0.9808510508	0.9805627403	0.9004336432000001	0.9007345882000001	0.9013744054	0.8883806247	0.88503398	0.8855290062000001	0.8880943768	0.8892636992	0.8836341894	0.8853062731	0.8663752865000001	0.8666489081000001	0.8737784405000001	0.8721163447	0.87269683	0.8725324453000001
Cna_MSK194	0.9997828272	0.9997641919	1.0	0.9785295511000001	0.9774820939000001	0.9754266696	0.9837553789000001	0.983958281	0.9779540989000001	0.9771162640000001	0.9782305388	0.978034158	0.9808666994	0.9810282074000001	0.9003406594000001	0.9008748816000001	0.9010621950000001	0.8880253086000001	0.8845729040000001	0.8850603064	0.8879838015	0.888780929	0.8836591259000001	0.8849540284	0.8664442753	0.8665825653	0.8735669201	0.8716659396	0.8723359073	0.8718812445
Cna_KPL4072	0.9782106546	0.9790291418	0.9786158093	1.0	0.9813507517000001	0.9795924347	0.9773270503	0.9778890474	0.9776099782000001	0.9758839892000001	0.9784321011	0.976028807	0.9792488884	0.9796407288000001	0.9010590231000001	0.9009632255000001	0.9010954447	0.8879900573	0.8843414995000001	0.8848136193	0.8860159752000001	0.8869639747	0.883361605	0.8837630195	0.866304908	0.8661636381000001	0.8729471463	0.8713303955	0.8717242208	0.8714096747000001
Cke_CTNIH24	0.9768793417	0.9772265604	0.976905576	0.9804322919	1.0	0.9819416808	0.9759874507	0.9760907949000001	0.9770012905000001	0.9742150809000001	0.9750447215	0.9741017552000001	0.9765022414000001	0.9763156438	0.9008236359	0.9010105043000001	0.9009858227	0.887247805	0.8856248489	0.8853012272	0.8873595243	0.8869942267	0.8836375737000001	0.8840001634	0.8670738194000001	0.8668578671	0.8725517733	0.8716598927	0.8712858232	0.8717233822
Cna_KPL4035	0.9747825968	0.9758062905	0.9748296249	0.9793901192000001	0.9825263292	1.0	0.9737907029	0.9738307617	0.9745506201	0.9724797714000001	0.9739198249000001	0.9727072252000001	0.9742092935000001	0.9739034669000001	0.8995152592000001	0.8996433817	0.9002324988	0.8895744199000001	0.8859735645	0.8868461343	0.8870201673	0.8880705607	0.8841861056	0.8842963406000001	0.8670256792000001	0.8672791963	0.8727514883	0.8706447603	0.871038952	0.8711183448
Cna_KPL3649	0.9832745498000001	0.9836383333000001	0.9833218476000001	0.9766717549	0.9760459256	0.9737308584000001	1.0	0.9998395647	0.9827552786	0.9777617067000001	0.9779385162	0.9786661347000001	0.9816563625	0.9815512567	0.9016830622	0.9019406253000001	0.9019640710000001	0.8883026159	0.8849160955	0.8851241384	0.8878685528	0.8879202926	0.8843282692000001	0.8845790366	0.8660851827	0.8658755113000001	0.8733466346000001	0.8714078613	0.8718530487	0.8709513729
Cna_MSK071	0.9820930550000001	0.9832268555	0.9821401901000001	0.9756665508000001	0.9749029939	0.9735879114	0.9992517571	1.0	0.9824452908	0.9765084397	0.9779044078	0.9774668178	0.9818853575000001	0.9815107398	0.9015540415000001	0.9019086942000001	0.9017699767	0.8882911048000001	0.885308257	0.8846987661	0.8878156256	0.8877617124	0.8839923693	0.8841395034	0.8657415005	0.8657844284	0.8732954873000001	0.8714455783	0.8715200781	0.8707396509
Cke_CTNIH27	0.9763425371000001	0.9765885989	0.9765567336000001	0.9763775738	0.9765734919000001	0.9743726862000001	0.9813902193	0.9817397661	1.0	0.9765156355000001	0.9758294115	0.9772239895	0.9811108175000001	0.9802919217	0.9001666589	0.9008025023	0.9007430181	0.8863848629000001	0.8853942545	0.8851781861	0.8862902756000001	0.8866199808	0.8835990785000001	0.8833468711	0.8664405529	0.8662803771	0.8738477682	0.8708436232000001	0.8714024578	0.8711912773
Cna_MSK185	0.9769788719	0.9769382084	0.976940943	0.9753413012000001	0.9745329583000001	0.9720829656000001	0.977719702	0.9779172987	0.9784801786	1.0	0.9787154615	0.9811980441	0.9813644484	0.9803255331	0.9021462264000001	0.9025043929000001	0.9026840644	0.8887417686	0.885411095	0.8859625735000001	0.8879983714	0.8889963987	0.8840258912000001	0.8852137753	0.8661875414	0.8664363636	0.8744813096	0.8718745852	0.8721630015	0.8717892411
