	Cke_CTNIH27	Cke_YSMAA5_1_D11	Cna_KPL3804	Cna_MSK194	Cna_KPL3649	Cna_MSK071	Cke_CTNIH24	Cna_KPL4035	Cna_KPL4072	Cke_FDAARGOS_1055	Cna_KPL2825	Cke_EYE_437	Cke_LK1134	Cna_MSK185	Ccu_CTNIH19	Ccu_c8Ua_181	Cha_CTNIH22	Cha_CTNIH20	Cha_CTNIH21	Cha_CTNIH23	Cyo_MSK136	Cyo_KPL2619	Cyo_c21Ua_68	Ctu_DSM_44922	Cmq_c19Ua_121	Cmq_KPL4083	Cmq_MSK144	Ctu_SK141	Ctu_KPL3807	Ctu_MSK207
Cke_CTNIH27	2.5879134861856312e-05	0.12591101939055097	0.1264831454073741	0.12625205279452706	0.1068933486240337	0.11287865842429265	0.13738323998722402	0.1359739262110565	0.1219932864617539	0.1315373893995593	0.1403021894523344	0.15518117175172624	0.12845523801060046	0.13666345561699583	0.34065763664097576	0.3415128490698892	0.3401561195131369	0.34888585622512863	0.3442177072235833	0.3530604657565959	0.26884038317927894	0.2789267663794808	0.2708229549940451	0.3350157805684385	0.31216463632392905	0.3228195507426229	0.3166928800271665	0.3177583907736745	0.3469086352499846	0.32714983463649466
Cke_YSMAA5_1_D11	0.09060759304823986	-0.0	0.014276218492740049	0.01236679647489149	0.08097440195756031	0.08699632284839846	0.11049695047125632	0.10230694965061898	0.09418049234155784	0.1048239353094801	0.10931468587261285	0.13123216416295436	0.10952242841410509	0.10610535576013463	0.3196462504621639	0.3181031733086043	0.30602362272901623	0.320252685942893	0.3087996114335435	0.3200534431758424	0.25234660813815946	0.2564520379825413	0.23559894847508983	0.3107957715090807	0.28698180089914793	0.2820523960589541	0.2832731503152833	0.29513795338163407	0.3284063667448587	0.30455480458171824
Cna_KPL3804	0.08970586003264583	0.017264227249328874	1.6284013257980643e-06	0.012484222930893936	0.07879263462386417	0.08325132253538874	0.10938480860675538	0.10082880273063695	0.09576682793221242	0.09698079787992046	0.1004388145673987	0.12440974846025583	0.11130384440966831	0.1067112464841187	0.3141794072573946	0.3134339877752338	0.29890644064596844	0.31027819653741956	0.29909050397191383	0.3133452560371699	0.2401056126505899	0.2452730228339624	0.23763900536612015	0.3081274931673925	0.2793699025859293	0.27934879208268326	0.28863190526684934	0.28994086613987746	0.32157097951775054	0.2976350282657276
Cna_MSK194	0.08496146353498744	0.010493731108347431	0.007935758502423725	1.2302007566763936e-06	0.07547369591461939	0.0781327965654611	0.10577959468139687	0.09902561480261175	0.08969852195013606	0.0916968560683009	0.09284814038224652	0.11655285441470414	0.10539989765550922	0.10103239936945696	0.30818783452929305	0.30644585388722423	0.2961765331117794	0.30544773599198544	0.294752981578801	0.30633905664769806	0.2407133796148323	0.24353714713039168	0.23478314381175433	0.30514700789597393	0.270901512625851	0.27504612008749874	0.27968292206558076	0.2827556435211787	0.3167706618620414	0.29338712133968475
Cna_KPL3649	0.08573620000985757	0.09648878311441908	0.09488821566371614	0.09468136058257878	1.0432054413639577e-05	0.01471454101306993	0.10606764483696578	0.11761282907984467	0.10542013032363409	0.08979873931351921	0.11315518487107425	0.11664374285945699	0.09907213039543068	0.09862887165532198	0.32900672536693565	0.32600865975873977	0.31962172866217575	0.329694256494453	0.32318502306186125	0.332715964154177	0.25143974837599825	0.2556428033528135	0.2508601529509986	0.3074005341779816	0.29685816726570435	0.2864322712454425	0.29705023013264065	0.2965290223616488	0.33215124582266664	0.303981636476992
Cna_MSK071	0.09042250427475178	0.09791548370314894	0.10042829784405771	0.09838545240152607	0.015218634083385257	0.0018598305130841106	0.11067178115682175	0.12400962510493962	0.11320402403754205	0.0975953099465877	0.12119234294549448	0.1233835351424097	0.10306362275932851	0.10250860555548356	0.3390414196874394	0.3359580077195604	0.3344980497710761	0.33979820815760775	0.33827775114203706	0.3462636938654612	0.26336191568601414	0.2667814347256934	0.25824818597305055	0.3208012917465	0.30272198830930824	0.2964461796904577	0.29805069733770095	0.30414097953632374	0.34371312021949707	0.3100383502356902
Cke_CTNIH24	0.10287103077613825	0.11155344476334991	0.11073954674090863	0.10981792795385856	0.08999750350358918	0.09281222754646186	3.045686380555735e-05	0.1014398478635023	0.10226437055446386	0.12377034836951503	0.1297044708112665	0.13253388333095512	0.11679071071118083	0.11693493231021843	0.31523013942774675	0.311800005838549	0.31343963646500844	0.3207500772793535	0.3159809296761725	0.32123986280636313	0.2547371644938209	0.25606677821429547	0.2517057094642622	0.2956239337110264	0.28459000395985784	0.28462249108132537	0.2837974022296856	0.2830083113752873	0.31214750630586235	0.28720537329088247
Cna_KPL4035	0.10077801072355858	0.10208106604693362	0.10000176234684036	0.10095905818774353	0.10247441334954777	0.10783709707771284	0.10062515895541732	-0.0	0.09495854368555198	0.12363058480806663	0.11956164798745028	0.14211857095925087	0.11974624879881889	0.11531245130228199	0.31330463428761224	0.30973305821263236	0.31509700764875304	0.32313628736818195	0.32434457549666873	0.32893598092788556	0.24233042259953902	0.24621586819918104	0.24499572641933068	0.30910445020375626	0.2820499618046448	0.2795758447404642	0.28734846783732204	0.28882356303766993	0.3248137504073334	0.2995402108236144
Cna_KPL4072	0.08119207738758287	0.09544930570188366	0.09534572329598721	0.09352642883442157	0.09169146612372221	0.09517371903551902	0.1017005554905703	0.09422203186209514	4.492110089486772e-06	0.10824250616131298	0.11394090794104061	0.1305471484282969	0.11577494629308435	0.11074216043235563	0.31434738319230726	0.3125943931528785	0.31122432413105616	0.3180199125938996	0.3170385358798704	0.32351277532983075	0.2399440327458354	0.24564230042763233	0.2416651529667178	0.31262737218485953	0.28513522083345666	0.2743912679246535	0.28546136884030215	0.29337800257279517	0.3252815613529171	0.2984209504812357
Cke_FDAARGOS_1055	0.11789578027431906	0.11834352031106622	0.12084536742411214	0.12071391723428991	0.09911596992507918	0.10126834347173104	0.14842508096315535	0.14808614304441817	0.13235172813093862	-0.0	0.11701159869041006	0.12468906332751253	0.11184070927662211	0.12108942900547004	0.34030673608660117	0.32280409756778733	0.3225661144751474	0.3265384258054899	0.3074635780110261	0.32544583023218043	0.2470717388581194	0.2743334813072012	0.26647169271335736	0.31628856359884444	0.2964024252461847	0.288422140367831	0.3188070426757129	0.3101948380093121	0.33998027495882654	0.3082802355026331
