,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
Cmq_MSK144,Ccu_c8Ua_181,81.90,[78.1 - 85.3%],0.1226,92.8,34.70,[32.2 - 37.2%],0.1195,0.59,69.80,[66.4 - 73.1%],0.2275,73.26,1.08
Cmq_MSK144,Ccu_CTNIH19,84.90,[81.1 - 88%],0.1079,94.87,34.70,[32.2 - 37.2%],0.1196,0.59,72.10,[68.6 - 75.3%],0.2146,81.16,0.97
Cmq_MSK144,Cha_CTNIH20,85.80,[82.1 - 88.8%],0.1031,95.42,38.00,[35.6 - 40.5%],0.1064,1.61,74.90,[71.4 - 78.1%],0.1985,88.32,1.04
Cmq_MSK144,Cha_CTNIH21,83.70,[79.9 - 86.9%],0.1138,94.11,38.40,[35.9 - 40.9%],0.1049,1.8,73.40,[69.9 - 76.6%],0.2068,84.96,1.12
Cmq_MSK144,Cha_CTNIH22,81.50,[77.6 - 84.9%],0.1246,92.46,37.90,[35.5 - 40.5%],0.1067,1.58,71.50,[68 - 74.7%],0.2180,79.25,1.12
Cmq_MSK144,Cha_CTNIH23,84.90,[81.2 - 88%],0.1076,94.9,38.70,[36.3 - 41.3%],0.1038,1.95,74.60,[71.1 - 77.8%],0.2003,87.67,1.02
Cmq_MSK144,Cke_CTNIH24,88.10,[84.7 - 90.9%],0.0909,96.56,35.70,[33.2 - 38.2%],0.1155,0.81,75.30,[71.9 - 78.5%],0.1959,89.23,1.19
Cmq_MSK144,Cke_CTNIH27,84.60,[80.8 - 87.7%],0.1093,94.69,35.70,[33.3 - 38.2%],0.1152,0.83,72.50,[69.1 - 75.7%],0.2119,82.52,1.29
Cmq_MSK144,Cke_EYE_437,84.30,[80.5 - 87.4%],0.1107,94.52,35.90,[33.4 - 38.4%],0.1146,0.86,72.40,[68.9 - 75.6%],0.2127,82.15,0.88
Cmq_MSK144,Cke_FDAARGOS_1055,83.50,[79.7 - 86.7%],0.1146,94.01,35.60,[33.1 - 38.1%],0.1158,0.79,71.60,[68.2 - 74.9%],0.2171,79.78,1.12
Cmq_MSK144,Cke_LK1134,87.80,[84.3 - 90.6%],0.0927,96.41,36.00,[33.5 - 38.5%],0.1142,0.89,75.30,[71.8 - 78.4%],0.1963,89.08,0.93
Cmq_MSK144,Cke_YSMAA5_1_D11,86.60,[83 - 89.5%],0.0989,95.84,35.70,[33.3 - 38.2%],0.1153,0.82,74.10,[70.6 - 77.3%],0.2028,86.67,1.12
Cmq_MSK144,Cmq_c19Ua_121,88.70,[85.3 - 91.4%],0.0877,96.81,72.60,[69.6 - 75.5%],0.0325,82.63,88.80,[85.9 - 91.1%],0.1174,99.23,0.10
Cmq_MSK144,Cmq_KPL4083,93.10,[90.4 - 95.1%],0.0633,98.22,71.70,[68.7 - 74.5%],0.0338,81.15,92.10,[89.7 - 94%],0.0950,99.65,0.08
Cmq_MSK144,Cmq_MSK144,100.00,[100 - 100%],0.0000,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0000,99.99,0.00
Cmq_MSK144,Cna_KPL2825,83.50,[79.7 - 86.8%],0.1145,94.02,35.60,[33.2 - 38.1%],0.1157,0.8,71.70,[68.2 - 74.9%],0.2170,79.85,1.00
Cmq_MSK144,Cna_KPL3649,86.00,[82.3 - 89%],0.1022,95.51,35.80,[33.3 - 38.3%],0.1150,0.84,73.70,[70.2 - 76.9%],0.2054,85.59,1.07
Cmq_MSK144,Cna_KPL3804,85.80,[82.1 - 88.8%],0.1030,95.42,35.60,[33.2 - 38.1%],0.1157,0.79,73.40,[70 - 76.6%],0.2068,84.98,1.08
Cmq_MSK144,Cna_KPL4035,86.00,[82.4 - 89%],0.1020,95.53,35.80,[33.4 - 38.4%],0.1147,0.86,73.70,[70.3 - 76.9%],0.2050,85.77,1.16
Cmq_MSK144,Cna_KPL4072,87.00,[83.5 - 89.9%],0.0966,96.06,35.50,[33 - 38%],0.1162,0.77,74.30,[70.9 - 77.5%],0.2016,87.17,1.11
Cmq_MSK144,Cna_MSK071,86.00,[82.4 - 89%],0.1019,95.54,35.80,[33.3 - 38.3%],0.1150,0.84,73.70,[70.2 - 76.9%],0.2051,85.69,1.08
Cmq_MSK144,Cna_MSK185,87.10,[83.5 - 89.9%],0.0966,96.07,35.80,[33.4 - 38.3%],0.1148,0.85,74.60,[71.1 - 77.8%],0.2002,87.67,0.92
Cmq_MSK144,Cna_MSK194,86.30,[82.7 - 89.3%],0.1005,95.69,35.60,[33.1 - 38.1%],0.1158,0.79,73.80,[70.3 - 77%],0.2046,85.92,1.06
Cmq_MSK144,Ctu_DSM_44922,85.50,[81.8 - 88.5%],0.1047,95.23,55.10,[52.4 - 57.9%],0.0606,35.49,81.80,[78.5 - 84.7%],0.1590,96.79,0.17
Cmq_MSK144,Ctu_KPL3807,89.10,[85.8 - 91.8%],0.0856,96.97,54.50,[51.8 - 57.2%],0.0619,33.34,84.70,[81.5 - 87.5%],0.1422,98.19,0.35
Cmq_MSK144,Ctu_MSK207,91.50,[88.5 - 93.8%],0.0724,97.79,54.80,[52 - 57.4%],0.0614,34.11,86.80,[83.8 - 89.4%],0.1294,98.84,0.43
Cmq_MSK144,Ctu_SK141,88.40,[85 - 91.1%],0.0894,96.67,53.90,[51.2 - 56.6%],0.0630,31.36,83.90,[80.7 - 86.7%],0.1468,97.88,0.44
Cmq_MSK144,Cyo_c21Ua_68,88.50,[85.1 - 91.2%],0.0889,96.71,36.10,[33.7 - 38.6%],0.1136,0.93,76.00,[72.5 - 79.1%],0.1924,90.34,0.89
Cmq_MSK144,Cyo_KPL2619,89.40,[86.1 - 92%],0.0841,97.07,36.20,[33.7 - 38.7%],0.1135,0.94,76.70,[73.3 - 79.9%],0.1880,91.6,0.94
Cmq_MSK144,Cyo_MSK136,85.00,[81.3 - 88.1%],0.1072,94.95,36.00,[33.6 - 38.6%],0.1139,0.91,73.10,[69.6 - 76.3%],0.2089,84.01,1.04
