,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
Cna_KPL3649,Ccu_c8Ua_181,78.20,[74.2 - 81.7%],0.1413,89.07,31.50,[29.1 - 34%],0.1344,0.19,64.90,[61.5 - 68.1%],0.2567,49.64,0.01
Cna_KPL3649,Ccu_CTNIH19,80.50,[76.6 - 83.9%],0.1299,91.51,31.50,[29.1 - 34%],0.1344,0.19,66.50,[63.1 - 69.8%],0.2468,58.19,0.10
Cna_KPL3649,Cha_CTNIH20,79.70,[75.8 - 83.2%],0.1337,90.76,32.60,[30.2 - 35.1%],0.1290,0.29,66.80,[63.4 - 70%],0.2454,59.38,0.03
Cna_KPL3649,Cha_CTNIH21,79.00,[75 - 82.4%],0.1375,89.93,32.60,[30.2 - 35.1%],0.1288,0.29,66.20,[62.9 - 69.5%],0.2486,56.68,0.05
Cna_KPL3649,Cha_CTNIH22,77.60,[73.6 - 81.1%],0.1444,88.29,33.00,[30.6 - 35.5%],0.1271,0.33,65.50,[62.1 - 68.7%],0.2532,52.73,0.05
Cna_KPL3649,Cha_CTNIH23,79.40,[75.4 - 82.9%],0.1353,90.41,32.50,[30.1 - 35.1%],0.1291,0.28,66.50,[63.1 - 69.7%],0.2470,58.05,0.05
Cna_KPL3649,Cke_CTNIH24,93.90,[91.4 - 95.8%],0.0581,98.43,79.70,[76.8 - 82.4%],0.0237,90.39,94.10,[92 - 95.7%],0.0804,99.79,0.12
Cna_KPL3649,Cke_CTNIH27,93.20,[90.5 - 95.2%],0.0625,98.25,85.60,[82.9 - 87.9%],0.0169,94.03,94.40,[92.3 - 95.9%],0.0784,99.8,0.21
Cna_KPL3649,Cke_EYE_437,91.90,[88.9 - 94.1%],0.0705,97.88,80.60,[77.7 - 83.3%],0.0226,91.07,92.60,[90.2 - 94.5%],0.0915,99.69,0.19
Cna_KPL3649,Cke_FDAARGOS_1055,93.80,[91.2 - 95.7%],0.0589,98.4,84.30,[81.5 - 86.7%],0.0184,93.37,94.60,[92.6 - 96.1%],0.0762,99.82,0.05
Cna_KPL3649,Cke_LK1134,95.30,[93 - 96.8%],0.0497,98.72,81.70,[78.9 - 84.3%],0.0213,91.83,95.40,[93.5 - 96.7%],0.0700,99.85,0.15
Cna_KPL3649,Cke_YSMAA5_1_D11,94.40,[91.9 - 96.1%],0.0555,98.53,85.80,[83.2 - 88.1%],0.0167,94.13,95.20,[93.4 - 96.6%],0.0713,99.85,0.05
Cna_KPL3649,Cmq_c19Ua_121,80.90,[77 - 84.3%],0.1279,91.89,35.70,[33.3 - 38.2%],0.1153,0.82,69.70,[66.2 - 72.9%],0.2284,72.63,0.98
