,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
Cyo_MSK136,Ccu_c8Ua_181,80.60,[76.6 - 84%],0.1296,91.57,31.90,[29.5 - 34.4%],0.1323,0.22,66.90,[63.5 - 70.1%],0.2447,60.01,0.04
Cyo_MSK136,Ccu_CTNIH19,78.80,[74.8 - 82.3%],0.1386,89.71,31.50,[29.1 - 34%],0.1345,0.19,65.30,[61.9 - 68.5%],0.2544,51.65,0.06
Cyo_MSK136,Cha_CTNIH20,80.20,[76.3 - 83.6%],0.1313,91.24,32.50,[30.1 - 35%],0.1294,0.28,67.10,[63.7 - 70.3%],0.2437,60.82,0.00
Cyo_MSK136,Cha_CTNIH21,81.70,[77.8 - 85%],0.1238,92.59,32.40,[30 - 34.9%],0.1297,0.27,68.10,[64.7 - 71.4%],0.2375,65.88,0.08
Cyo_MSK136,Cha_CTNIH22,80.60,[76.7 - 84%],0.1292,91.64,33.40,[31 - 35.9%],0.1252,0.38,68.00,[64.6 - 71.2%],0.2382,65.29,0.08
Cyo_MSK136,Cha_CTNIH23,78.90,[75 - 82.4%],0.1377,89.91,32.40,[30 - 34.9%],0.1299,0.27,66.10,[62.7 - 69.3%],0.2497,55.74,0.02
Cyo_MSK136,Cke_CTNIH24,82.90,[79.1 - 86.2%],0.1176,93.57,40.10,[37.6 - 42.6%],0.0992,2.76,73.70,[70.2 - 76.9%],0.2052,85.67,0.15
Cyo_MSK136,Cke_CTNIH27,82.90,[79 - 86.1%],0.1180,93.52,40.40,[37.9 - 42.9%],0.0981,3.01,73.80,[70.4 - 77%],0.2045,85.98,0.25
Cyo_MSK136,Cke_EYE_437,84.60,[80.8 - 87.7%],0.1092,94.71,40.30,[37.8 - 42.8%],0.0986,2.9,75.10,[71.7 - 78.3%],0.1970,88.85,0.16
Cyo_MSK136,Cke_FDAARGOS_1055,86.30,[82.6 - 89.3%],0.1005,95.68,40.90,[38.4 - 43.4%],0.0966,3.37,76.80,[73.4 - 80%],0.1874,91.77,0.09
Cyo_MSK136,Cke_LK1134,84.60,[80.8 - 87.7%],0.1094,94.69,40.00,[37.5 - 42.6%],0.0993,2.73,75.00,[71.5 - 78.2%],0.1978,88.55,0.11
Cyo_MSK136,Cke_YSMAA5_1_D11,82.90,[79.1 - 86.2%],0.1177,93.57,40.20,[37.8 - 42.8%],0.0986,2.89,73.80,[70.3 - 77%],0.2047,85.88,0.08
Cyo_MSK136,Cmq_c19Ua_121,82.10,[78.2 - 85.4%],0.1218,92.94,35.90,[33.5 - 38.4%],0.1144,0.88,70.70,[67.3 - 74%],0.2223,76.7,0.94
Cyo_MSK136,Cmq_KPL4083,84.90,[81.1 - 88%],0.1079,94.87,35.80,[33.4 - 38.4%],0.1147,0.86,72.80,[69.3 - 76%],0.2102,83.36,0.96
Cyo_MSK136,Cmq_MSK144,85.00,[81.3 - 88.1%],0.1072,94.95,36.00,[33.6 - 38.6%],0.1139,0.91,73.10,[69.6 - 76.3%],0.2089,84.01,1.04
Cyo_MSK136,Cna_KPL2825,85.30,[81.6 - 88.4%],0.1055,95.14,40.60,[38.2 - 43.2%],0.0973,3.19,75.90,[72.5 - 79.1%],0.1925,90.3,0.04
Cyo_MSK136,Cna_KPL3649,84.40,[80.7 - 87.6%],0.1099,94.62,40.40,[37.9 - 43%],0.0980,3.02,75.10,[71.6 - 78.3%],0.1972,88.79,0.03
Cyo_MSK136,Cna_KPL3804,83.80,[80 - 87%],0.1131,94.21,40.10,[37.6 - 42.6%],0.0991,2.79,74.40,[71 - 77.6%],0.2010,87.4,0.04
Cyo_MSK136,Cna_KPL4035,84.00,[80.2 - 87.2%],0.1122,94.33,39.70,[37.2 - 42.2%],0.1006,2.5,74.40,[70.9 - 77.5%],0.2015,87.19,0.12
Cyo_MSK136,Cna_KPL4072,84.60,[80.9 - 87.7%],0.1091,94.72,40.00,[37.5 - 42.5%],0.0994,2.72,75.00,[71.5 - 78.2%],0.1977,88.6,0.08
Cyo_MSK136,Cna_MSK071,83.60,[79.8 - 86.8%],0.1144,94.04,40.40,[37.9 - 43%],0.0980,3.02,74.40,[70.9 - 77.6%],0.2012,87.31,0.04
Cyo_MSK136,Cna_MSK185,86.30,[82.6 - 89.2%],0.1007,95.66,40.60,[38.1 - 43.1%],0.0975,3.13,76.70,[73.2 - 79.8%],0.1884,91.5,0.12
Cyo_MSK136,Cna_MSK194,84.20,[80.4 - 87.3%],0.1113,94.45,40.10,[37.6 - 42.6%],0.0992,2.76,74.70,[71.2 - 77.9%],0.1994,87.97,0.02
Cyo_MSK136,Ctu_DSM_44922,80.50,[76.6 - 83.9%],0.1299,91.51,36.50,[34.1 - 39%],0.1120,1.05,69.90,[66.4 - 73.1%],0.2274,73.35,1.21
Cyo_MSK136,Ctu_KPL3807,81.20,[77.3 - 84.6%],0.1263,92.17,35.90,[33.5 - 38.4%],0.1144,0.88,70.00,[66.6 - 73.3%],0.2262,74.11,1.39
Cyo_MSK136,Ctu_MSK207,83.70,[79.9 - 86.9%],0.1136,94.15,36.00,[33.5 - 38.5%],0.1142,0.89,72.00,[68.6 - 75.2%],0.2148,81.02,1.47
Cyo_MSK136,Ctu_SK141,82.60,[78.8 - 85.9%],0.1192,93.34,36.30,[33.8 - 38.8%],0.1131,0.97,71.30,[67.9 - 74.6%],0.2188,78.79,1.48
Cyo_MSK136,Cyo_c21Ua_68,96.10,[94.1 - 97.4%],0.0440,98.89,99.80,[99.7 - 99.9%],0.0004,98.25,98.00,[96.9 - 98.7%],0.0443,99.94,0.15
Cyo_MSK136,Cyo_KPL2619,96.40,[94.4 - 97.6%],0.0421,98.94,92.70,[90.8 - 94.3%],0.0091,96.63,97.40,[96.1 - 98.3%],0.0508,99.92,0.10
Cyo_MSK136,Cyo_MSK136,100.00,[100 - 100%],0.0001,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0001,99.99,0.00
