,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
Ccu_c8Ua_181,Ccu_c8Ua_181,100.00,[100 - NaN%],0.0000,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - NaN%],0.0000,99.99,0.00
Ccu_c8Ua_181,Ccu_CTNIH19,96.40,[94.5 - 97.7%],0.0418,98.94,99.60,[99.4 - 99.8%],0.0008,98.19,98.10,[97.1 - 98.8%],0.0425,99.94,0.11
Ccu_c8Ua_181,Cha_CTNIH20,82.40,[78.5 - 85.7%],0.1203,93.16,53.10,[50.4 - 55.7%],0.0649,28.43,78.60,[75.2 - 81.7%],0.1774,94.06,0.04
Ccu_c8Ua_181,Cha_CTNIH21,82.30,[78.4 - 85.6%],0.1210,93.05,52.20,[49.5 - 54.8%],0.0668,25.46,78.20,[74.7 - 81.3%],0.1798,93.57,0.04
Ccu_c8Ua_181,Cha_CTNIH22,78.30,[74.3 - 81.8%],0.1408,89.19,51.70,[49 - 54.3%],0.0679,23.99,74.80,[71.3 - 78%],0.1991,88.1,0.04
Ccu_c8Ua_181,Cha_CTNIH23,80.60,[76.6 - 84%],0.1295,91.58,51.90,[49.3 - 54.6%],0.0673,24.74,76.70,[73.2 - 79.8%],0.1881,91.57,0.06
Ccu_c8Ua_181,Cke_CTNIH24,79.70,[75.7 - 83.1%],0.1340,90.7,31.60,[29.2 - 34.1%],0.1337,0.2,66.10,[62.7 - 69.3%],0.2498,55.67,0.11
Ccu_c8Ua_181,Cke_CTNIH27,77.00,[73.1 - 80.6%],0.1472,87.58,31.60,[29.2 - 34.1%],0.1336,0.2,64.20,[60.8 - 67.4%],0.2611,45.76,0.21
Ccu_c8Ua_181,Cke_EYE_437,76.80,[72.9 - 80.4%],0.1482,87.31,31.60,[29.2 - 34.1%],0.1340,0.2,64.00,[60.6 - 67.2%],0.2623,44.75,0.20
Ccu_c8Ua_181,Cke_FDAARGOS_1055,79.80,[75.9 - 83.3%],0.1331,90.87,32.00,[29.6 - 34.5%],0.1316,0.24,66.50,[63.1 - 69.7%],0.2472,57.88,0.04
Ccu_c8Ua_181,Cke_LK1134,79.80,[75.9 - 83.3%],0.1332,90.86,31.60,[29.2 - 34.2%],0.1335,0.2,66.20,[62.8 - 69.4%],0.2489,56.39,0.16
Ccu_c8Ua_181,Cke_YSMAA5_1_D11,77.60,[73.6 - 81.1%],0.1443,88.32,31.60,[29.2 - 34.1%],0.1336,0.2,64.60,[61.2 - 67.8%],0.2586,47.95,0.04
Ccu_c8Ua_181,Cmq_c19Ua_121,79.00,[75 - 82.5%],0.1375,89.95,34.60,[32.2 - 37.1%],0.1198,0.58,67.60,[64.1 - 70.8%],0.2408,63.23,0.99
Ccu_c8Ua_181,Cmq_KPL4083,80.60,[76.7 - 84%],0.1293,91.61,34.40,[31.9 - 36.9%],0.1209,0.53,68.60,[65.2 - 71.8%],0.2346,68.08,1.00
Ccu_c8Ua_181,Cmq_MSK144,81.90,[78.1 - 85.3%],0.1226,92.8,34.70,[32.2 - 37.2%],0.1195,0.59,69.80,[66.4 - 73.1%],0.2275,73.26,1.08
Ccu_c8Ua_181,Cna_KPL2825,80.50,[76.6 - 84%],0.1296,91.57,31.50,[29.1 - 34%],0.1343,0.19,66.60,[63.2 - 69.8%],0.2465,58.45,0.08
Ccu_c8Ua_181,Cna_KPL3649,78.20,[74.2 - 81.7%],0.1413,89.07,31.50,[29.1 - 34%],0.1344,0.19,64.90,[61.5 - 68.1%],0.2567,49.64,0.01
Ccu_c8Ua_181,Cna_KPL3804,78.30,[74.4 - 81.8%],0.1407,89.21,31.60,[29.2 - 34.1%],0.1338,0.2,65.10,[61.7 - 68.3%],0.2557,50.55,0.00
Ccu_c8Ua_181,Cna_KPL4035,79.20,[75.3 - 82.7%],0.1362,90.22,31.50,[29.1 - 34%],0.1341,0.19,65.70,[62.3 - 68.9%],0.2521,53.68,0.08
Ccu_c8Ua_181,Cna_KPL4072,78.70,[74.8 - 82.2%],0.1386,89.69,31.50,[29.1 - 34%],0.1343,0.19,65.30,[61.9 - 68.5%],0.2543,51.75,0.03
Ccu_c8Ua_181,Cna_MSK071,77.30,[73.3 - 80.8%],0.1460,87.88,31.50,[29.1 - 34%],0.1343,0.19,64.20,[60.9 - 67.5%],0.2607,46.15,0.00
Ccu_c8Ua_181,Cna_MSK185,79.40,[75.4 - 82.9%],0.1354,90.4,31.50,[29.1 - 34%],0.1342,0.19,65.80,[62.4 - 69%],0.2514,54.22,0.16
Ccu_c8Ua_181,Cna_MSK194,78.90,[74.9 - 82.3%],0.1381,89.81,31.60,[29.2 - 34.1%],0.1338,0.2,65.40,[62.1 - 68.7%],0.2534,52.49,0.02
Ccu_c8Ua_181,Ctu_DSM_44922,74.50,[70.5 - 78.1%],0.1602,83.68,34.50,[32 - 37%],0.1205,0.55,64.10,[60.8 - 67.4%],0.2614,45.56,1.25
Ccu_c8Ua_181,Ctu_KPL3807,80.30,[76.4 - 83.7%],0.1309,91.32,34.80,[32.4 - 37.3%],0.1189,0.62,68.70,[65.2 - 71.9%],0.2343,68.38,1.43
Ccu_c8Ua_181,Ctu_MSK207,82.20,[78.3 - 85.5%],0.1213,93.01,34.70,[32.3 - 37.2%],0.1194,0.6,70.00,[66.6 - 73.3%],0.2263,74.09,1.52
