,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
Cha_CTNIH20,Ccu_c8Ua_181,82.40,[78.5 - 85.7%],0.1203,93.16,53.10,[50.4 - 55.7%],0.0649,28.43,78.60,[75.2 - 81.7%],0.1774,94.06,0.04
Cha_CTNIH20,Ccu_CTNIH19,84.30,[80.5 - 87.5%],0.1106,94.53,53.20,[50.5 - 55.8%],0.0646,28.78,80.20,[76.8 - 83.2%],0.1681,95.63,0.07
Cha_CTNIH20,Cha_CTNIH20,100.00,[100 - 100%],0.0001,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0001,99.99,0.00
Cha_CTNIH20,Cha_CTNIH21,92.80,[90 - 94.9%],0.0649,98.15,82.30,[79.4 - 84.8%],0.0207,92.19,93.60,[91.4 - 95.3%],0.0843,99.76,0.08
Cha_CTNIH20,Cha_CTNIH22,90.20,[87 - 92.7%],0.0798,97.36,78.60,[75.6 - 81.3%],0.0250,89.44,91.00,[88.4 - 93.1%],0.1028,99.54,0.08
Cha_CTNIH20,Cha_CTNIH23,92.80,[90 - 94.8%],0.0652,98.14,83.60,[80.8 - 86.1%],0.0192,92.98,93.70,[91.6 - 95.4%],0.0832,99.77,0.02
Cha_CTNIH20,Cke_CTNIH24,80.30,[76.4 - 83.7%],0.1308,91.34,32.60,[30.2 - 35.1%],0.1290,0.29,67.20,[63.8 - 70.4%],0.2429,61.47,0.15
Cha_CTNIH20,Cke_CTNIH27,78.50,[74.6 - 82%],0.1397,89.45,32.60,[30.2 - 35.1%],0.1290,0.29,65.90,[62.5 - 69.1%],0.2507,54.87,0.24
Cha_CTNIH20,Cke_EYE_437,79.10,[75.1 - 82.6%],0.1369,90.07,32.60,[30.2 - 35.1%],0.1289,0.29,66.30,[62.9 - 69.6%],0.2481,57.09,0.16
Cha_CTNIH20,Cke_FDAARGOS_1055,81.00,[77.1 - 84.4%],0.1273,92,32.80,[30.4 - 35.3%],0.1279,0.31,67.90,[64.5 - 71.1%],0.2389,64.77,0.08
Cha_CTNIH20,Cke_LK1134,82.00,[78.1 - 85.3%],0.1223,92.84,32.70,[30.3 - 35.2%],0.1284,0.3,68.50,[65.1 - 71.8%],0.2350,67.81,0.12
Cha_CTNIH20,Cke_YSMAA5_1_D11,80.40,[76.4 - 83.8%],0.1305,91.39,32.80,[30.3 - 35.3%],0.1281,0.31,67.40,[64 - 70.6%],0.2420,62.28,0.08
Cha_CTNIH20,Cmq_c19Ua_121,85.20,[81.5 - 88.2%],0.1063,95.06,37.70,[35.3 - 40.3%],0.1074,1.49,74.20,[70.7 - 77.4%],0.2022,86.9,0.95
Cha_CTNIH20,Cmq_KPL4083,85.60,[81.9 - 88.6%],0.1041,95.3,38.10,[35.6 - 40.6%],0.1061,1.64,74.80,[71.3 - 77.9%],0.1992,88.07,0.96
Cha_CTNIH20,Cmq_MSK144,85.80,[82.1 - 88.8%],0.1031,95.42,38.00,[35.6 - 40.5%],0.1064,1.61,74.90,[71.4 - 78.1%],0.1985,88.32,1.04
Cha_CTNIH20,Cna_KPL2825,81.10,[77.2 - 84.5%],0.1266,92.11,32.60,[30.2 - 35.1%],0.1290,0.29,67.80,[64.4 - 71%],0.2393,64.44,0.04
Cha_CTNIH20,Cna_KPL3649,79.70,[75.8 - 83.2%],0.1337,90.76,32.60,[30.2 - 35.1%],0.1290,0.29,66.80,[63.4 - 70%],0.2454,59.38,0.03
Cha_CTNIH20,Cna_KPL3804,81.20,[77.3 - 84.6%],0.1264,92.16,32.70,[30.3 - 35.2%],0.1285,0.3,67.90,[64.5 - 71.2%],0.2386,65,0.04
Cha_CTNIH20,Cna_KPL4035,79.20,[75.2 - 82.6%],0.1365,90.17,32.30,[29.9 - 34.8%],0.1303,0.26,66.20,[62.8 - 69.4%],0.2490,56.34,0.12
Cha_CTNIH20,Cna_KPL4072,80.40,[76.4 - 83.8%],0.1305,91.39,32.50,[30.1 - 35%],0.1294,0.28,67.20,[63.8 - 70.4%],0.2430,61.4,0.07
Cha_CTNIH20,Cna_MSK071,79.00,[75 - 82.5%],0.1375,89.95,32.60,[30.2 - 35.1%],0.1290,0.29,66.20,[62.8 - 69.5%],0.2488,56.55,0.03
Cha_CTNIH20,Cna_MSK185,80.20,[76.2 - 83.6%],0.1316,91.19,32.60,[30.2 - 35.1%],0.1288,0.29,67.10,[63.7 - 70.3%],0.2435,61.04,0.12
Cha_CTNIH20,Cna_MSK194,81.50,[77.6 - 84.8%],0.1249,92.42,32.70,[30.3 - 35.2%],0.1285,0.3,68.10,[64.7 - 71.4%],0.2373,66.02,0.02
Cha_CTNIH20,Ctu_DSM_44922,81.40,[77.5 - 84.8%],0.1253,92.34,37.00,[34.6 - 39.6%],0.1100,1.23,70.90,[67.4 - 74.1%],0.2215,77.15,1.21
