,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
Cke_LK1134,Ccu_c8Ua_181,79.80,[75.9 - 83.3%],0.1332,90.86,31.60,[29.2 - 34.2%],0.1335,0.2,66.20,[62.8 - 69.4%],0.2489,56.39,0.16
Cke_LK1134,Ccu_CTNIH19,82.50,[78.6 - 85.8%],0.1198,93.25,31.70,[29.3 - 34.2%],0.1333,0.21,68.20,[64.8 - 71.4%],0.2371,66.16,0.05
Cke_LK1134,Cha_CTNIH20,82.00,[78.1 - 85.3%],0.1223,92.84,32.70,[30.3 - 35.2%],0.1284,0.3,68.50,[65.1 - 71.8%],0.2350,67.81,0.12
Cke_LK1134,Cha_CTNIH21,80.10,[76.1 - 83.5%],0.1319,91.12,32.70,[30.3 - 35.2%],0.1283,0.3,67.10,[63.7 - 70.4%],0.2432,61.22,0.20
Cke_LK1134,Cha_CTNIH22,78.60,[74.7 - 82.1%],0.1391,89.58,33.10,[30.7 - 35.6%],0.1266,0.35,66.30,[62.9 - 69.6%],0.2481,57.11,0.20
Cke_LK1134,Cha_CTNIH23,81.40,[77.5 - 84.7%],0.1254,92.33,32.60,[30.2 - 35.2%],0.1287,0.29,68.00,[64.6 - 71.3%],0.2379,65.52,0.10
Cke_LK1134,Cke_CTNIH24,91.90,[88.9 - 94.1%],0.0705,97.89,77.90,[75 - 80.6%],0.0258,88.84,92.20,[89.8 - 94.1%],0.0945,99.65,0.27
Cke_LK1134,Cke_CTNIH27,92.70,[89.9 - 94.8%],0.0656,98.12,81.90,[79 - 84.4%],0.0212,91.93,93.50,[91.2 - 95.2%],0.0854,99.75,0.36
Cke_LK1134,Cke_EYE_437,94.40,[92 - 96.1%],0.0552,98.54,84.90,[82.1 - 87.2%],0.0178,93.65,95.10,[93.2 - 96.5%],0.0720,99.84,0.04
Cke_LK1134,Cke_FDAARGOS_1055,93.30,[90.6 - 95.3%],0.0619,98.28,86.40,[83.8 - 88.7%],0.0160,94.41,94.50,[92.5 - 96%],0.0769,99.81,0.20
Cke_LK1134,Cke_LK1134,100.00,[100 - NaN%],0.0000,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - NaN%],0.0000,99.99,0.00
Cke_LK1134,Cke_YSMAA5_1_D11,93.10,[90.3 - 95.1%],0.0635,98.21,80.40,[77.5 - 83%],0.0229,90.9,93.50,[91.3 - 95.2%],0.0849,99.75,0.20
Cke_LK1134,Cmq_c19Ua_121,82.70,[78.9 - 86%],0.1186,93.42,36.00,[33.6 - 38.5%],0.1140,0.9,71.30,[67.8 - 74.5%],0.2191,78.59,0.83
