,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
Cmq_KPL4083,Ccu_c8Ua_181,80.60,[76.7 - 84%],0.1293,91.61,34.40,[31.9 - 36.9%],0.1209,0.53,68.60,[65.2 - 71.8%],0.2346,68.08,1.00
Cmq_KPL4083,Ccu_CTNIH19,83.90,[80.1 - 87.1%],0.1126,94.27,34.40,[32 - 36.9%],0.1208,0.54,71.10,[67.7 - 74.4%],0.2199,78.16,0.89
Cmq_KPL4083,Cha_CTNIH20,85.60,[81.9 - 88.6%],0.1041,95.3,38.10,[35.6 - 40.6%],0.1061,1.64,74.80,[71.3 - 77.9%],0.1992,88.07,0.96
Cmq_KPL4083,Cha_CTNIH21,83.90,[80.1 - 87.1%],0.1125,94.29,38.30,[35.8 - 40.8%],0.1055,1.72,73.50,[70.1 - 76.7%],0.2061,85.26,1.04
Cmq_KPL4083,Cha_CTNIH22,82.10,[78.2 - 85.4%],0.1219,92.91,38.30,[35.8 - 40.8%],0.1054,1.73,72.10,[68.6 - 75.3%],0.2145,81.19,1.04
Cmq_KPL4083,Cha_CTNIH23,85.80,[82.2 - 88.8%],0.1029,95.43,38.60,[36.1 - 41.1%],0.1044,1.87,75.20,[71.7 - 78.4%],0.1966,88.99,0.94
Cmq_KPL4083,Cke_CTNIH24,85.00,[81.3 - 88.1%],0.1072,94.96,36.10,[33.7 - 38.7%],0.1135,0.94,73.10,[69.6 - 76.3%],0.2085,84.19,1.11
Cmq_KPL4083,Cke_CTNIH27,81.60,[77.7 - 84.9%],0.1245,92.49,36.10,[33.6 - 38.6%],0.1137,0.92,70.40,[67 - 73.7%],0.2240,75.57,1.21
Cmq_KPL4083,Cke_EYE_437,84.30,[80.5 - 87.4%],0.1107,94.52,36.60,[34.1 - 39.1%],0.1118,1.07,72.80,[69.4 - 76%],0.2102,83.4,0.80
Cmq_KPL4083,Cke_FDAARGOS_1055,85.60,[81.9 - 88.6%],0.1041,95.3,36.50,[34 - 39%],0.1121,1.04,73.80,[70.3 - 77%],0.2046,85.94,1.04
Cmq_KPL4083,Cke_LK1134,87.00,[83.4 - 89.9%],0.0968,96.04,36.60,[34.1 - 39.1%],0.1119,1.06,75.00,[71.5 - 78.2%],0.1979,88.53,0.84
Cmq_KPL4083,Cke_YSMAA5_1_D11,84.30,[80.5 - 87.5%],0.1106,94.53,36.40,[33.9 - 38.9%],0.1126,1.01,72.70,[69.3 - 75.9%],0.2108,83.11,1.04
Cmq_KPL4083,Cmq_c19Ua_121,86.50,[82.9 - 89.5%],0.0994,95.79,68.50,[65.5 - 71.3%],0.0383,75.38,86.10,[83 - 88.7%],0.1339,98.64,0.02
Cmq_KPL4083,Cmq_KPL4083,100.00,[100 - 100%],0.0002,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0002,99.99,0.00
Cmq_KPL4083,Cmq_MSK144,93.10,[90.4 - 95.1%],0.0633,98.22,71.70,[68.7 - 74.5%],0.0338,81.15,92.10,[89.7 - 94%],0.0950,99.65,0.08
Cmq_KPL4083,Cna_KPL2825,84.50,[80.7 - 87.6%],0.1098,94.63,36.30,[33.9 - 38.9%],0.1127,1,72.80,[69.4 - 76%],0.2102,83.39,0.92
Cmq_KPL4083,Cna_KPL3649,84.70,[80.9 - 87.8%],0.1087,94.77,36.50,[34.1 - 39%],0.1121,1.04,73.10,[69.6 - 76.3%],0.2086,84.14,0.99
Cmq_KPL4083,Cna_KPL3804,84.50,[80.8 - 87.7%],0.1096,94.67,36.30,[33.9 - 38.9%],0.1127,0.99,72.90,[69.4 - 76.1%],0.2099,83.5,1.00
Cmq_KPL4083,Cna_KPL4035,84.70,[80.9 - 87.8%],0.1087,94.77,36.60,[34.1 - 39.1%],0.1117,1.07,73.20,[69.7 - 76.4%],0.2083,84.27,1.08
Cmq_KPL4083,Cna_KPL4072,86.30,[82.7 - 89.3%],0.1003,95.7,36.30,[33.8 - 38.8%],0.1130,0.98,74.30,[70.8 - 77.5%],0.2020,86.99,1.03
