,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
Cke_CTNIH27,Ccu_c8Ua_181,77.00,[73.1 - 80.6%],0.1472,87.58,31.60,[29.2 - 34.1%],0.1336,0.2,64.20,[60.8 - 67.4%],0.2611,45.76,0.21
Cke_CTNIH27,Ccu_CTNIH19,79.60,[75.6 - 83%],0.1345,90.59,31.60,[29.2 - 34.1%],0.1336,0.2,66.00,[62.6 - 69.2%],0.2501,55.4,0.31
Cke_CTNIH27,Cha_CTNIH20,78.50,[74.6 - 82%],0.1397,89.45,32.60,[30.2 - 35.1%],0.1290,0.29,65.90,[62.5 - 69.1%],0.2507,54.87,0.24
Cke_CTNIH27,Cha_CTNIH21,77.20,[73.2 - 80.7%],0.1464,87.78,32.60,[30.2 - 35.1%],0.1287,0.29,65.00,[61.6 - 68.2%],0.2563,49.97,0.17
Cke_CTNIH27,Cha_CTNIH22,76.00,[72 - 79.6%],0.1526,86.06,33.10,[30.6 - 35.6%],0.1268,0.34,64.40,[61 - 67.6%],0.2600,46.74,0.16
Cke_CTNIH27,Cha_CTNIH23,78.10,[74.1 - 81.6%],0.1419,88.92,32.50,[30.1 - 35%],0.1294,0.28,65.50,[62.1 - 68.7%],0.2530,52.89,0.26
Cke_CTNIH27,Cke_CTNIH24,90.80,[87.7 - 93.2%],0.0763,97.57,80.10,[77.1 - 82.7%],0.0233,90.64,91.70,[89.2 - 93.7%],0.0978,99.61,0.10
Cke_CTNIH27,Cke_CTNIH27,100.00,[100 - 100%],0.0001,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0001,99.99,0.00
Cke_CTNIH27,Cke_EYE_437,87.80,[84.3 - 90.6%],0.0929,96.39,80.60,[77.7 - 83.3%],0.0226,91.07,89.40,[86.6 - 91.7%],0.1134,99.33,0.40
Cke_CTNIH27,Cke_FDAARGOS_1055,88.70,[85.3 - 91.4%],0.0880,96.78,85.30,[82.6 - 87.7%],0.0173,93.88,90.90,[88.2 - 93%],0.1038,99.52,0.16
Cke_CTNIH27,Cke_LK1134,92.70,[89.9 - 94.8%],0.0656,98.12,81.90,[79 - 84.4%],0.0212,91.93,93.50,[91.2 - 95.2%],0.0854,99.75,0.36
Cke_CTNIH27,Cke_YSMAA5_1_D11,92.60,[89.7 - 94.7%],0.0665,98.08,80.60,[77.7 - 83.2%],0.0226,91.04,93.20,[90.9 - 94.9%],0.0876,99.73,0.16
Cke_CTNIH27,Cmq_c19Ua_121,79.30,[75.4 - 82.8%],0.1357,90.34,35.70,[33.3 - 38.2%],0.1152,0.83,68.50,[65.1 - 71.7%],0.2352,67.64,1.19
