,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
Cha_CTNIH23,Ccu_c8Ua_181,80.60,[76.6 - 84%],0.1295,91.58,51.90,[49.3 - 54.6%],0.0673,24.74,76.70,[73.2 - 79.8%],0.1881,91.57,0.06
Cha_CTNIH23,Ccu_CTNIH19,83.90,[80.1 - 87.1%],0.1127,94.26,52.00,[49.3 - 54.7%],0.0671,25.05,79.50,[76.1 - 82.5%],0.1723,94.98,0.05
Cha_CTNIH23,Cha_CTNIH20,92.80,[90 - 94.8%],0.0652,98.14,83.60,[80.8 - 86.1%],0.0192,92.98,93.70,[91.6 - 95.4%],0.0832,99.77,0.02
Cha_CTNIH23,Cha_CTNIH21,96.00,[94 - 97.4%],0.0445,98.87,87.60,[85.1 - 89.8%],0.0147,94.92,96.60,[95.1 - 97.7%],0.0585,99.9,0.10
Cha_CTNIH23,Cha_CTNIH22,88.10,[84.6 - 90.9%],0.0910,96.55,76.80,[73.8 - 79.6%],0.0272,87.77,89.00,[86.2 - 91.4%],0.1157,99.28,0.10
Cha_CTNIH23,Cha_CTNIH23,100.00,[100 - 100%],0.0001,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0001,99.99,0.00
Cha_CTNIH23,Cke_CTNIH24,80.40,[76.4 - 83.8%],0.1305,91.38,32.60,[30.2 - 35.1%],0.1290,0.29,67.20,[63.8 - 70.5%],0.2427,61.67,0.17
Cha_CTNIH23,Cke_CTNIH27,78.10,[74.1 - 81.6%],0.1419,88.92,32.50,[30.1 - 35%],0.1294,0.28,65.50,[62.1 - 68.7%],0.2530,52.89,0.26
Cha_CTNIH23,Cke_EYE_437,79.60,[75.6 - 83%],0.1344,90.62,32.70,[30.2 - 35.2%],0.1286,0.3,66.70,[63.3 - 70%],0.2457,59.18,0.14
Cha_CTNIH23,Cke_FDAARGOS_1055,81.00,[77 - 84.3%],0.1275,91.95,32.80,[30.4 - 35.3%],0.1281,0.31,67.80,[64.4 - 71.1%],0.2392,64.48,0.10
Cha_CTNIH23,Cke_LK1134,81.40,[77.5 - 84.7%],0.1254,92.33,32.60,[30.2 - 35.2%],0.1287,0.29,68.00,[64.6 - 71.3%],0.2379,65.52,0.10
Cha_CTNIH23,Cke_YSMAA5_1_D11,80.80,[76.9 - 84.2%],0.1283,91.81,32.70,[30.3 - 35.2%],0.1285,0.3,67.60,[64.2 - 70.9%],0.2403,63.65,0.10
Cha_CTNIH23,Cmq_c19Ua_121,81.70,[77.9 - 85.1%],0.1236,92.64,38.60,[36.1 - 41.1%],0.1043,1.89,72.00,[68.5 - 75.2%],0.2150,80.95,0.93
Cha_CTNIH23,Cmq_KPL4083,85.80,[82.2 - 88.8%],0.1029,95.43,38.60,[36.1 - 41.1%],0.1044,1.87,75.20,[71.7 - 78.4%],0.1966,88.99,0.94
Cha_CTNIH23,Cmq_MSK144,84.90,[81.2 - 88%],0.1076,94.9,38.70,[36.3 - 41.3%],0.1038,1.95,74.60,[71.1 - 77.8%],0.2003,87.67,1.02
Cha_CTNIH23,Cna_KPL2825,80.40,[76.5 - 83.8%],0.1303,91.43,32.60,[30.2 - 35.1%],0.1289,0.29,67.30,[63.9 - 70.5%],0.2425,61.87,0.02
Cha_CTNIH23,Cna_KPL3649,79.40,[75.4 - 82.9%],0.1353,90.41,32.50,[30.1 - 35.1%],0.1291,0.28,66.50,[63.1 - 69.7%],0.2470,58.05,0.05
Cha_CTNIH23,Cna_KPL3804,81.50,[77.6 - 84.8%],0.1248,92.43,32.60,[30.2 - 35.2%],0.1287,0.3,68.10,[64.7 - 71.4%],0.2374,65.93,0.06
Cha_CTNIH23,Cna_KPL4035,78.80,[74.8 - 82.3%],0.1386,89.71,32.40,[30 - 34.9%],0.1298,0.27,65.90,[62.6 - 69.2%],0.2504,55.14,0.14
Cha_CTNIH23,Cna_KPL4072,80.30,[76.4 - 83.7%],0.1307,91.35,32.50,[30 - 35%],0.1296,0.28,67.10,[63.7 - 70.4%],0.2434,61.12,0.09
Cha_CTNIH23,Cna_MSK071,78.30,[74.3 - 81.8%],0.1410,89.14,32.50,[30.1 - 35%],0.1293,0.28,65.70,[62.3 - 68.9%],0.2521,53.69,0.05
Cha_CTNIH23,Cna_MSK185,79.60,[75.6 - 83%],0.1344,90.6,32.50,[30.1 - 35%],0.1295,0.28,66.60,[63.2 - 69.8%],0.2465,58.49,0.10
Cha_CTNIH23,Cna_MSK194,81.70,[77.9 - 85.1%],0.1236,92.63,32.70,[30.3 - 35.2%],0.1285,0.3,68.30,[64.9 - 71.6%],0.2362,66.85,0.04
Cha_CTNIH23,Ctu_DSM_44922,81.50,[77.6 - 84.9%],0.1248,92.44,37.30,[34.9 - 39.8%],0.1090,1.32,71.10,[67.6 - 74.3%],0.2202,77.97,1.19
Cha_CTNIH23,Ctu_KPL3807,86.60,[83 - 89.5%],0.0991,95.82,38.60,[36.1 - 41.1%],0.1043,1.89,75.80,[72.4 - 79%],0.1930,90.16,1.37
Cha_CTNIH23,Ctu_MSK207,85.00,[81.3 - 88.1%],0.1069,94.98,37.60,[35.1 - 40.1%],0.1079,1.44,74.00,[70.6 - 77.2%],0.2033,86.47,1.46
Cha_CTNIH23,Ctu_SK141,82.10,[78.2 - 85.4%],0.1219,92.91,37.10,[34.6 - 39.6%],0.1099,1.23,71.40,[67.9 - 74.6%],0.2184,79,1.46
Cha_CTNIH23,Cyo_c21Ua_68,80.00,[76.1 - 83.4%],0.1323,91.04,32.30,[29.9 - 34.9%],0.1301,0.26,66.80,[63.4 - 70%],0.2452,59.58,0.13
Cha_CTNIH23,Cyo_KPL2619,82.20,[78.3 - 85.5%],0.1214,92.99,32.50,[30 - 35%],0.1296,0.27,68.50,[65.1 - 71.7%],0.2353,67.61,0.09
Cha_CTNIH23,Cyo_MSK136,78.90,[75 - 82.4%],0.1377,89.91,32.40,[30 - 34.9%],0.1299,0.27,66.10,[62.7 - 69.3%],0.2497,55.74,0.02
