,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
Cha_CTNIH21,Ccu_c8Ua_181,82.30,[78.4 - 85.6%],0.1210,93.05,52.20,[49.5 - 54.8%],0.0668,25.46,78.20,[74.7 - 81.3%],0.1798,93.57,0.04
Cha_CTNIH21,Ccu_CTNIH19,83.50,[79.7 - 86.7%],0.1147,94,52.40,[49.8 - 55.1%],0.0662,26.36,79.30,[75.9 - 82.4%],0.1733,94.81,0.15
Cha_CTNIH21,Cha_CTNIH20,92.80,[90 - 94.9%],0.0649,98.15,82.30,[79.4 - 84.8%],0.0207,92.19,93.60,[91.4 - 95.3%],0.0843,99.76,0.08
Cha_CTNIH21,Cha_CTNIH21,100.00,[100 - 100%],0.0002,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0002,99.99,0.00
Cha_CTNIH21,Cha_CTNIH22,89.90,[86.6 - 92.4%],0.0816,97.24,78.10,[75.2 - 80.9%],0.0256,89.03,90.70,[88 - 92.8%],0.1051,99.5,0.00
Cha_CTNIH21,Cha_CTNIH23,96.00,[94 - 97.4%],0.0445,98.87,87.60,[85.1 - 89.8%],0.0147,94.92,96.60,[95.1 - 97.7%],0.0585,99.9,0.10
Cha_CTNIH21,Cke_CTNIH24,78.80,[74.8 - 82.3%],0.1383,89.76,32.50,[30.1 - 35%],0.1295,0.28,66.00,[62.6 - 69.3%],0.2499,55.54,0.07
Cha_CTNIH21,Cke_CTNIH27,77.20,[73.2 - 80.7%],0.1464,87.78,32.60,[30.2 - 35.1%],0.1287,0.29,65.00,[61.6 - 68.2%],0.2563,49.97,0.17
Cha_CTNIH21,Cke_EYE_437,78.30,[74.3 - 81.8%],0.1409,89.16,32.70,[30.3 - 35.2%],0.1283,0.3,65.80,[62.4 - 69%],0.2512,54.48,0.24
Cha_CTNIH21,Cke_FDAARGOS_1055,82.60,[78.7 - 85.9%],0.1194,93.31,32.90,[30.5 - 35.4%],0.1273,0.33,69.10,[65.7 - 72.4%],0.2315,70.4,0.00
Cha_CTNIH21,Cke_LK1134,80.10,[76.1 - 83.5%],0.1319,91.12,32.70,[30.3 - 35.2%],0.1283,0.3,67.10,[63.7 - 70.4%],0.2432,61.22,0.20
Cha_CTNIH21,Cke_YSMAA5_1_D11,80.00,[76.1 - 83.5%],0.1321,91.07,32.80,[30.4 - 35.4%],0.1277,0.32,67.20,[63.8 - 70.4%],0.2430,61.43,0.00
Cha_CTNIH21,Cmq_c19Ua_121,81.30,[77.4 - 84.7%],0.1256,92.3,38.00,[35.6 - 40.6%],0.1063,1.63,71.40,[67.9 - 74.6%],0.2185,78.98,1.03
Cha_CTNIH21,Cmq_KPL4083,83.90,[80.1 - 87.1%],0.1125,94.29,38.30,[35.8 - 40.8%],0.1055,1.72,73.50,[70.1 - 76.7%],0.2061,85.26,1.04
Cha_CTNIH21,Cmq_MSK144,83.70,[79.9 - 86.9%],0.1138,94.11,38.40,[35.9 - 40.9%],0.1049,1.8,73.40,[69.9 - 76.6%],0.2068,84.96,1.12
