,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
YSMAA1_1_C6,CT01,95.90,[93.8 - 97.3%],0.0455,98.84,85.70,[83 - 88%],0.0168,94.08,96.30,[94.7 - 97.5%],0.0616,99.89,0.17
YSMAA1_1_C6,CTNIH2,90.20,[87 - 92.7%],0.0799,97.35,78.90,[76 - 81.6%],0.0246,89.74,91.00,[88.4 - 93.1%],0.1026,99.54,0.06
YSMAA1_1_C6,CTNIH6,93.60,[91 - 95.5%],0.0603,98.35,82.90,[80.1 - 85.4%],0.0199,92.59,94.30,[92.2 - 95.8%],0.0790,99.8,0.01
YSMAA1_1_C6,CTNIH14,93.50,[90.8 - 95.4%],0.0610,98.32,84.40,[81.7 - 86.8%],0.0183,93.43,94.40,[92.3 - 95.9%],0.0781,99.8,0.11
YSMAA1_1_C6,CTNIH24,90.10,[86.9 - 92.6%],0.0804,97.32,78.90,[75.9 - 81.6%],0.0247,89.69,91.00,[88.3 - 93%],0.1031,99.53,0.05
YSMAA1_1_C6,CTNIH27,92.90,[90.2 - 95%],0.0643,98.18,83.00,[80.1 - 85.5%],0.0199,92.6,93.80,[91.6 - 95.4%],0.0829,99.77,0.14
YSMAA1_1_C6,EYE_346,91.40,[88.4 - 93.7%],0.0731,97.75,80.90,[78 - 83.5%],0.0223,91.23,92.30,[89.9 - 94.2%],0.0938,99.66,0.13
YSMAA1_1_C6,EYE_437,92.60,[89.7 - 94.7%],0.0664,98.08,85.70,[83 - 88%],0.0168,94.08,93.90,[91.7 - 95.5%],0.0821,99.78,0.26
YSMAA1_1_C6,FDAARGOS_1055,91.70,[88.7 - 93.9%],0.0715,97.83,85.80,[83.2 - 88.1%],0.0167,94.13,93.20,[91 - 95%],0.0870,99.73,0.02
YSMAA1_1_C6,KPL2825,89.90,[86.7 - 92.4%],0.0814,97.25,87.00,[84.5 - 89.2%],0.0154,94.68,92.10,[89.6 - 94%],0.0955,99.64,0.15
YSMAA1_1_C6,KPL3649,94.20,[91.7 - 96%],0.0565,98.49,82.60,[79.8 - 85.1%],0.0203,92.39,94.70,[92.7 - 96.2%],0.0757,99.82,0.07
YSMAA1_1_C6,KPL3804,90.40,[87.2 - 92.9%],0.0785,97.43,80.80,[77.9 - 83.4%],0.0224,91.18,91.50,[89 - 93.5%],0.0992,99.59,0.07
YSMAA1_1_C6,KPL4035,89.60,[86.3 - 92.2%],0.0831,97.14,76.30,[73.3 - 79%],0.0279,87.18,90.10,[87.4 - 92.3%],0.1087,99.43,0.02
YSMAA1_1_C6,KPL4072,91.30,[88.3 - 93.7%],0.0735,97.73,81.00,[78.1 - 83.6%],0.0222,91.33,92.30,[89.8 - 94.2%],0.0940,99.66,0.03
YSMAA1_1_C6,LK1134,96.80,[95.1 - 98%],0.0385,99.02,84.00,[81.2 - 86.5%],0.0187,93.21,96.80,[95.4 - 97.9%],0.0565,99.91,0.22
YSMAA1_1_C6,MSK071,94.10,[91.6 - 95.9%],0.0570,98.47,82.50,[79.7 - 85%],0.0204,92.34,94.60,[92.6 - 96.1%],0.0762,99.82,0.07
YSMAA1_1_C6,MSK163,91.20,[88.1 - 93.5%],0.0743,97.68,80.60,[77.7 - 83.3%],0.0226,91.07,92.10,[89.6 - 94%],0.0952,99.64,0.09
YSMAA1_1_C6,MSK185,94.80,[92.4 - 96.4%],0.0529,98.62,83.80,[81 - 86.3%],0.0189,93.11,95.30,[93.4 - 96.6%],0.0708,99.85,0.22
YSMAA1_1_C6,MSK194,91.00,[87.8 - 93.3%],0.0757,97.61,80.70,[77.8 - 83.4%],0.0225,91.14,91.90,[89.4 - 93.9%],0.0964,99.63,0.08
