,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
MSK163,CT01,93.90,[91.4 - 95.8%],0.0581,98.43,81.60,[78.7 - 84.1%],0.0215,91.73,94.40,[92.3 - 95.9%],0.0784,99.8,0.09
MSK163,CTNIH2,92.10,[89.1 - 94.3%],0.0693,97.95,80.50,[77.6 - 83.1%],0.0228,90.96,92.80,[90.4 - 94.6%],0.0905,99.7,0.14
MSK163,CTNIH6,93.60,[91 - 95.5%],0.0600,98.36,80.60,[77.7 - 83.2%],0.0226,91.06,94.00,[91.9 - 95.6%],0.0812,99.78,0.09
MSK163,CTNIH14,90.30,[87.1 - 92.8%],0.0792,97.39,81.20,[78.3 - 83.8%],0.0219,91.47,91.50,[88.9 - 93.5%],0.0994,99.59,0.03
MSK163,CTNIH24,92.00,[89 - 94.2%],0.0698,97.92,80.50,[77.6 - 83.1%],0.0228,90.94,92.70,[90.3 - 94.5%],0.0910,99.69,0.13
MSK163,CTNIH27,93.00,[90.3 - 95%],0.0638,98.2,80.60,[77.7 - 83.2%],0.0227,91.01,93.50,[91.3 - 95.2%],0.0850,99.75,0.23
MSK163,EYE_346,99.80,[99.5 - 99.9%],0.0072,99.54,99.90,[99.7 - 99.9%],0.0003,98.25,99.90,[99.8 - 100%],0.0075,99.98,0.05
MSK163,EYE_437,89.80,[86.6 - 92.4%],0.0818,97.23,80.90,[77.9 - 83.5%],0.0224,91.22,91.10,[88.5 - 93.1%],0.1023,99.55,0.18
MSK163,FDAARGOS_1055,91.90,[89 - 94.1%],0.0702,97.9,83.20,[80.3 - 85.6%],0.0197,92.72,93.00,[90.7 - 94.8%],0.0885,99.72,0.06
MSK163,KPL2825,92.30,[89.4 - 94.4%],0.0681,98,83.80,[81 - 86.2%],0.0190,93.07,93.40,[91.1 - 95.1%],0.0859,99.74,0.06
MSK163,KPL3649,94.70,[92.3 - 96.4%],0.0533,98.6,85.70,[83.1 - 88.1%],0.0168,94.09,95.50,[93.7 - 96.8%],0.0692,99.86,0.01
MSK163,KPL3804,99.70,[99.3 - 99.8%],0.0094,99.52,99.80,[99.6 - 99.9%],0.0005,98.23,99.90,[99.7 - 99.9%],0.0099,99.98,0.02
MSK163,KPL4035,94.20,[91.8 - 96%],0.0562,98.5,78.90,[75.9 - 81.6%],0.0247,89.67,94.20,[92.1 - 95.8%],0.0796,99.79,0.10
MSK163,KPL4072,94.10,[91.6 - 95.9%],0.0570,98.47,81.50,[78.6 - 84%],0.0216,91.65,94.50,[92.4 - 96%],0.0774,99.81,0.05
MSK163,LK1134,93.10,[90.3 - 95.1%],0.0634,98.22,80.70,[77.8 - 83.3%],0.0225,91.12,93.60,[91.4 - 95.3%],0.0845,99.76,0.14
MSK163,MSK071,94.50,[92 - 96.2%],0.0549,98.55,85.70,[83 - 88%],0.0168,94.07,95.30,[93.4 - 96.6%],0.0708,99.85,0.02
MSK163,MSK163,100.00,[100 - 100%],0.0001,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0001,99.99,0.00
MSK163,MSK185,93.70,[91.1 - 95.6%],0.0594,98.38,80.00,[77 - 82.6%],0.0234,90.57,94.00,[91.8 - 95.6%],0.0814,99.78,0.14
MSK163,MSK194,99.80,[99.6 - 99.9%],0.0064,99.55,99.80,[99.6 - 99.9%],0.0005,98.23,99.90,[99.9 - 100%],0.0070,99.98,0.00
MSK163,P5_C4,92.30,[89.4 - 94.4%],0.0682,98,77.80,[74.8 - 80.5%],0.0260,88.73,92.50,[90.1 - 94.4%],0.0924,99.68,0.20
MSK163,P7_C1,94.70,[92.3 - 96.4%],0.0533,98.6,81.20,[78.3 - 83.8%],0.0219,91.48,94.90,[92.9 - 96.3%],0.0741,99.83,0.01
MSK163,P7_F1,94.90,[92.6 - 96.6%],0.0518,98.65,81.20,[78.3 - 83.8%],0.0219,91.49,95.10,[93.2 - 96.5%],0.0726,99.84,0.03
MSK163,SB,81.50,[77.6 - 84.9%],0.1248,92.43,67.10,[64.2 - 70%],0.0402,72.49,81.60,[78.3 - 84.6%],0.1600,96.68,1.03
MSK163,YSMAA1_1_C6,91.20,[88.1 - 93.5%],0.0743,97.68,80.60,[77.7 - 83.3%],0.0226,91.07,92.10,[89.6 - 94%],0.0952,99.64,0.09
MSK163,YSMAA1_2_B7,95.10,[92.8 - 96.7%],0.0508,98.69,86.70,[84 - 88.9%],0.0158,94.51,95.90,[94.1 - 97.1%],0.0658,99.87,0.13
MSK163,YSMAA1_2_G9,91.40,[88.4 - 93.7%],0.0731,97.75,81.40,[78.5 - 84%],0.0217,91.6,92.40,[90 - 94.3%],0.0932,99.67,0.14
MSK163,YSMAA3_1_H1,95.50,[93.4 - 97%],0.0479,98.77,94.80,[93.1 - 96%],0.0069,97.15,97.10,[95.7 - 98%],0.0545,99.91,0.06
MSK163,YSMAA5_1_D11,99.70,[99.4 - 99.9%],0.0084,99.53,99.60,[99.3 - 99.8%],0.0008,98.19,99.90,[99.8 - 99.9%],0.0092,99.98,0.06
