,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
KPL3649,CT01,95.40,[93.3 - 96.9%],0.0485,98.76,81.20,[78.3 - 83.8%],0.0219,91.5,95.50,[93.6 - 96.8%],0.0693,99.86,0.10
KPL3649,CTNIH2,94.00,[91.5 - 95.8%],0.0577,98.44,79.70,[76.8 - 82.4%],0.0237,90.39,94.20,[92 - 95.7%],0.0800,99.79,0.13
KPL3649,CTNIH6,93.80,[91.3 - 95.7%],0.0588,98.4,85.80,[83.1 - 88.1%],0.0167,94.11,94.80,[92.9 - 96.3%],0.0746,99.83,0.08
KPL3649,CTNIH14,91.40,[88.4 - 93.7%],0.0729,97.76,81.90,[79 - 84.4%],0.0212,91.92,92.50,[90.1 - 94.3%],0.0925,99.68,0.04
KPL3649,CTNIH24,93.90,[91.4 - 95.8%],0.0581,98.43,79.70,[76.8 - 82.4%],0.0237,90.39,94.10,[92 - 95.7%],0.0804,99.79,0.12
KPL3649,CTNIH27,93.20,[90.5 - 95.2%],0.0625,98.25,85.60,[82.9 - 87.9%],0.0169,94.03,94.40,[92.3 - 95.9%],0.0784,99.8,0.21
KPL3649,EYE_346,94.50,[92 - 96.2%],0.0547,98.55,86.10,[83.5 - 88.4%],0.0164,94.28,95.40,[93.5 - 96.7%],0.0702,99.85,0.06
KPL3649,EYE_437,91.90,[88.9 - 94.1%],0.0705,97.88,80.60,[77.7 - 83.3%],0.0226,91.07,92.60,[90.2 - 94.5%],0.0915,99.69,0.19
KPL3649,FDAARGOS_1055,93.80,[91.2 - 95.7%],0.0589,98.4,84.30,[81.5 - 86.7%],0.0184,93.37,94.60,[92.6 - 96.1%],0.0762,99.82,0.05
KPL3649,KPL2825,91.10,[88 - 93.5%],0.0748,97.66,84.50,[81.8 - 86.9%],0.0182,93.47,92.60,[90.2 - 94.5%],0.0916,99.69,0.07
KPL3649,KPL3649,100.00,[100 - 100%],0.0002,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0002,99.99,0.00
KPL3649,KPL3804,93.90,[91.4 - 95.8%],0.0582,98.43,85.90,[83.3 - 88.2%],0.0166,94.19,94.90,[93 - 96.4%],0.0738,99.83,0.01
KPL3649,KPL4035,92.70,[89.8 - 94.7%],0.0659,98.1,77.30,[74.3 - 80.1%],0.0266,88.25,92.70,[90.4 - 94.5%],0.0908,99.7,0.09
KPL3649,KPL4072,93.70,[91.1 - 95.6%],0.0593,98.38,80.50,[77.6 - 83.2%],0.0227,91,94.10,[91.9 - 95.7%],0.0807,99.79,0.04
KPL3649,LK1134,95.30,[93 - 96.8%],0.0497,98.72,81.70,[78.9 - 84.3%],0.0213,91.83,95.40,[93.5 - 96.7%],0.0700,99.85,0.15
KPL3649,MSK071,99.80,[99.6 - 99.9%],0.0066,99.55,99.80,[99.6 - 99.9%],0.0005,98.24,99.90,[99.8 - 100%],0.0071,99.98,0.00
KPL3649,MSK163,94.70,[92.3 - 96.4%],0.0533,98.6,85.70,[83.1 - 88.1%],0.0168,94.09,95.50,[93.7 - 96.8%],0.0692,99.86,0.01
KPL3649,MSK185,95.50,[93.3 - 97%],0.0481,98.77,80.90,[78 - 83.5%],0.0223,91.23,95.50,[93.6 - 96.8%],0.0694,99.86,0.15
KPL3649,MSK194,94.30,[91.9 - 96.1%],0.0556,98.52,85.90,[83.3 - 88.2%],0.0166,94.18,95.20,[93.4 - 96.6%],0.0713,99.85,0.01
KPL3649,P5_C4,92.70,[89.9 - 94.8%],0.0654,98.13,77.20,[74.2 - 79.9%],0.0267,88.13,92.80,[90.4 - 94.6%],0.0904,99.7,0.19
KPL3649,P7_C1,95.80,[93.8 - 97.2%],0.0457,98.84,80.60,[77.7 - 83.3%],0.0226,91.07,95.70,[93.9 - 97%],0.0673,99.87,0.02
KPL3649,P7_F1,96.00,[94 - 97.4%],0.0444,98.87,80.70,[77.8 - 83.3%],0.0226,91.08,95.80,[94.1 - 97.1%],0.0659,99.87,0.04
KPL3649,SB,80.70,[76.8 - 84.1%],0.1286,91.74,66.70,[63.7 - 69.5%],0.0409,71.47,80.90,[77.5 - 83.9%],0.1643,96.16,1.01
KPL3649,YSMAA1_1_C6,94.20,[91.7 - 96%],0.0565,98.49,82.60,[79.8 - 85.1%],0.0203,92.39,94.70,[92.7 - 96.2%],0.0757,99.82,0.07
KPL3649,YSMAA1_2_B7,93.70,[91.1 - 95.6%],0.0598,98.36,84.70,[81.9 - 87.1%],0.0180,93.56,94.60,[92.5 - 96.1%],0.0767,99.81,0.14
KPL3649,YSMAA1_2_G9,90.50,[87.3 - 92.9%],0.0784,97.44,80.70,[77.8 - 83.3%],0.0226,91.09,91.50,[89 - 93.5%],0.0992,99.59,0.15
KPL3649,YSMAA3_1_H1,90.70,[87.5 - 93.1%],0.0771,97.52,84.60,[81.8 - 87%],0.0181,93.52,92.30,[89.9 - 94.2%],0.0938,99.66,0.05
KPL3649,YSMAA5_1_D11,94.40,[91.9 - 96.1%],0.0555,98.53,85.80,[83.2 - 88.1%],0.0167,94.13,95.20,[93.4 - 96.6%],0.0713,99.85,0.05
