,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
KPL4072,CT01,92.20,[89.3 - 94.4%],0.0686,97.98,79.80,[76.9 - 82.5%],0.0236,90.44,92.80,[90.4 - 94.6%],0.0906,99.7,0.14
KPL4072,CTNIH2,92.50,[89.7 - 94.6%],0.0667,98.07,84.00,[81.2 - 86.4%],0.0188,93.19,93.60,[91.4 - 95.3%],0.0842,99.76,0.09
KPL4072,CTNIH6,94.30,[91.8 - 96%],0.0560,98.51,80.60,[77.7 - 83.3%],0.0226,91.07,94.50,[92.5 - 96%],0.0773,99.81,0.04
KPL4072,CTNIH14,90.30,[87 - 92.7%],0.0795,97.37,79.90,[77 - 82.5%],0.0235,90.51,91.20,[88.7 - 93.3%],0.1011,99.56,0.08
KPL4072,CTNIH24,92.40,[89.6 - 94.6%],0.0671,98.05,83.90,[81.1 - 86.4%],0.0188,93.16,93.50,[91.3 - 95.2%],0.0847,99.75,0.08
KPL4072,CTNIH27,93.60,[91 - 95.5%],0.0600,98.36,80.60,[77.7 - 83.3%],0.0226,91.07,94.00,[91.9 - 95.6%],0.0812,99.78,0.17
KPL4072,EYE_346,94.60,[92.2 - 96.3%],0.0540,98.58,81.60,[78.7 - 84.2%],0.0215,91.76,94.90,[92.9 - 96.3%],0.0743,99.83,0.10
KPL4072,EYE_437,88.70,[85.3 - 91.4%],0.0878,96.8,80.80,[77.9 - 83.5%],0.0224,91.22,90.20,[87.5 - 92.4%],0.1082,99.44,0.23
KPL4072,FDAARGOS_1055,90.10,[86.9 - 92.6%],0.0804,97.32,82.10,[79.2 - 84.6%],0.0210,92.04,91.50,[88.9 - 93.5%],0.0997,99.59,0.01
KPL4072,KPL2825,90.50,[87.3 - 92.9%],0.0784,97.45,82.40,[79.5 - 84.9%],0.0206,92.25,91.80,[89.3 - 93.8%],0.0973,99.62,0.12
KPL4072,KPL3649,93.70,[91.1 - 95.6%],0.0593,98.38,80.50,[77.6 - 83.2%],0.0227,91,94.10,[91.9 - 95.7%],0.0807,99.79,0.04
KPL4072,KPL3804,94.10,[91.5 - 95.9%],0.0575,98.45,81.40,[78.5 - 83.9%],0.0218,91.58,94.40,[92.4 - 95.9%],0.0780,99.81,0.04
KPL4072,KPL4035,94.20,[91.7 - 96%],0.0567,98.48,82.10,[79.3 - 84.7%],0.0209,92.1,94.60,[92.6 - 96.1%],0.0764,99.82,0.05
KPL4072,KPL4072,100.00,[100 - 100%],0.0008,99.61,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0008,99.99,0.00
KPL4072,LK1134,92.50,[89.6 - 94.6%],0.0668,98.06,79.10,[76.2 - 81.8%],0.0244,89.88,92.90,[90.5 - 94.7%],0.0896,99.71,0.19
KPL4072,MSK071,93.50,[90.9 - 95.4%],0.0608,98.33,80.40,[77.5 - 83%],0.0229,90.9,93.90,[91.7 - 95.5%],0.0823,99.77,0.04
KPL4072,MSK163,94.10,[91.6 - 95.9%],0.0570,98.47,81.50,[78.6 - 84%],0.0216,91.65,94.50,[92.4 - 96%],0.0774,99.81,0.05
KPL4072,MSK185,93.00,[90.2 - 95%],0.0641,98.19,79.10,[76.1 - 81.7%],0.0245,89.83,93.20,[91 - 95%],0.0870,99.73,0.19
KPL4072,MSK194,94.50,[92.1 - 96.2%],0.0544,98.56,81.50,[78.6 - 84%],0.0216,91.65,94.80,[92.8 - 96.2%],0.0749,99.83,0.05
KPL4072,P5_C4,94.00,[91.4 - 95.8%],0.0578,98.44,81.30,[78.4 - 83.9%],0.0218,91.54,94.40,[92.3 - 95.9%],0.0784,99.8,0.15
KPL4072,P7_C1,95.00,[92.7 - 96.6%],0.0513,98.67,84.10,[81.4 - 86.6%],0.0186,93.27,95.50,[93.7 - 96.8%],0.0690,99.86,0.06
KPL4072,P7_F1,95.20,[93 - 96.8%],0.0498,98.72,84.10,[81.3 - 86.5%],0.0187,93.24,95.70,[93.9 - 96.9%],0.0675,99.87,0.09
KPL4072,SB,81.70,[77.8 - 85.1%],0.1236,92.63,68.20,[65.2 - 71%],0.0387,74.78,82.10,[78.7 - 85%],0.1575,96.94,0.97
KPL4072,YSMAA1_1_C6,91.30,[88.3 - 93.7%],0.0735,97.73,81.00,[78.1 - 83.6%],0.0222,91.33,92.30,[89.8 - 94.2%],0.0940,99.66,0.03
KPL4072,YSMAA1_2_B7,92.60,[89.7 - 94.7%],0.0664,98.08,82.70,[79.9 - 85.2%],0.0202,92.46,93.50,[91.2 - 95.2%],0.0852,99.75,0.18
KPL4072,YSMAA1_2_G9,90.00,[86.8 - 92.5%],0.0809,97.29,79.80,[76.9 - 82.5%],0.0235,90.46,91.00,[88.4 - 93.1%],0.1026,99.54,0.19
KPL4072,YSMAA3_1_H1,91.30,[88.3 - 93.7%],0.0735,97.73,81.80,[78.9 - 84.3%],0.0213,91.84,92.40,[90 - 94.3%],0.0932,99.67,0.00
KPL4072,YSMAA5_1_D11,94.10,[91.6 - 95.9%],0.0570,98.47,81.30,[78.4 - 83.9%],0.0219,91.52,94.50,[92.4 - 96%],0.0776,99.81,0.01
