,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
MSK185,CT01,95.10,[92.9 - 96.7%],0.0504,98.7,81.70,[78.8 - 84.3%],0.0214,91.81,95.30,[93.4 - 96.6%],0.0707,99.85,0.05
MSK185,CTNIH2,91.70,[88.7 - 94%],0.0712,97.85,78.20,[75.3 - 80.9%],0.0255,89.11,92.10,[89.7 - 94.1%],0.0949,99.65,0.28
MSK185,CTNIH6,91.60,[88.6 - 93.9%],0.0719,97.81,81.60,[78.7 - 84.2%],0.0215,91.76,92.60,[90.2 - 94.4%],0.0918,99.69,0.23
MSK185,CTNIH14,93.10,[90.3 - 95.1%],0.0634,98.22,82.20,[79.4 - 84.7%],0.0208,92.14,93.80,[91.6 - 95.4%],0.0829,99.77,0.11
MSK185,CTNIH24,91.60,[88.6 - 93.9%],0.0717,97.82,78.20,[75.2 - 80.9%],0.0255,89.08,92.10,[89.6 - 94%],0.0954,99.64,0.27
MSK185,CTNIH27,90.90,[87.8 - 93.3%],0.0758,97.6,81.60,[78.7 - 84.2%],0.0215,91.74,92.00,[89.6 - 94%],0.0957,99.64,0.36
MSK185,EYE_346,94.10,[91.6 - 95.9%],0.0571,98.47,80.00,[77.1 - 82.7%],0.0233,90.61,94.30,[92.2 - 95.8%],0.0791,99.8,0.09
MSK185,EYE_437,93.40,[90.7 - 95.3%],0.0615,98.3,81.40,[78.5 - 84%],0.0217,91.6,93.90,[91.8 - 95.5%],0.0819,99.78,0.04
MSK185,FDAARGOS_1055,92.50,[89.6 - 94.6%],0.0670,98.05,83.60,[80.8 - 86.1%],0.0192,92.98,93.50,[91.3 - 95.2%],0.0849,99.75,0.20
MSK185,KPL2825,92.40,[89.5 - 94.5%],0.0677,98.02,83.10,[80.3 - 85.6%],0.0198,92.68,93.40,[91.1 - 95.1%],0.0861,99.74,0.07
MSK185,KPL3649,95.50,[93.3 - 97%],0.0481,98.77,80.90,[78 - 83.5%],0.0223,91.23,95.50,[93.6 - 96.8%],0.0694,99.86,0.15
MSK185,KPL3804,93.20,[90.5 - 95.2%],0.0628,98.24,80.00,[77.1 - 82.7%],0.0233,90.6,93.60,[91.3 - 95.2%],0.0847,99.75,0.15
MSK185,KPL4035,92.60,[89.7 - 94.7%],0.0664,98.08,76.20,[73.2 - 78.9%],0.0280,87.09,92.50,[90.1 - 94.3%],0.0925,99.68,0.24
MSK185,KPL4072,93.00,[90.2 - 95%],0.0641,98.19,79.10,[76.1 - 81.7%],0.0245,89.83,93.20,[91 - 95%],0.0870,99.73,0.19
MSK185,LK1134,96.70,[94.8 - 97.9%],0.0398,98.99,83.70,[80.9 - 86.1%],0.0191,93.03,96.70,[95.2 - 97.7%],0.0581,99.9,0.00
MSK185,MSK071,95.40,[93.2 - 96.9%],0.0485,98.76,80.60,[77.7 - 83.3%],0.0226,91.07,95.40,[93.5 - 96.7%],0.0700,99.85,0.15
MSK185,MSK163,93.70,[91.1 - 95.6%],0.0594,98.38,80.00,[77 - 82.6%],0.0234,90.57,94.00,[91.8 - 95.6%],0.0814,99.78,0.14
MSK185,MSK185,100.00,[100 - 100%],0.0000,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0000,99.99,0.00
MSK185,MSK194,93.60,[91 - 95.5%],0.0600,98.36,80.00,[77.1 - 82.7%],0.0233,90.6,93.90,[91.8 - 95.5%],0.0819,99.78,0.14
MSK185,P5_C4,91.30,[88.2 - 93.6%],0.0739,97.71,75.90,[72.9 - 78.6%],0.0284,86.74,91.40,[88.8 - 93.4%],0.1002,99.58,0.34
MSK185,P7_C1,94.80,[92.5 - 96.5%],0.0526,98.63,79.20,[76.3 - 81.9%],0.0243,89.97,94.70,[92.7 - 96.2%],0.0756,99.82,0.13
MSK185,P7_F1,95.00,[92.7 - 96.6%],0.0513,98.67,79.30,[76.3 - 81.9%],0.0242,90,94.90,[92.9 - 96.3%],0.0743,99.83,0.10
MSK185,SB,82.60,[78.7 - 85.9%],0.1193,93.32,67.10,[64.1 - 69.9%],0.0403,72.36,82.60,[79.2 - 85.4%],0.1548,97.21,1.16
MSK185,YSMAA1_1_C6,94.80,[92.4 - 96.4%],0.0529,98.62,83.80,[81 - 86.3%],0.0189,93.11,95.30,[93.4 - 96.6%],0.0708,99.85,0.22
MSK185,YSMAA1_2_B7,95.00,[92.7 - 96.6%],0.0513,98.67,82.90,[80.1 - 85.4%],0.0200,92.58,95.30,[93.5 - 96.7%],0.0703,99.85,0.01
MSK185,YSMAA1_2_G9,91.40,[88.4 - 93.7%],0.0731,97.75,82.50,[79.6 - 85%],0.0205,92.32,92.50,[90.2 - 94.4%],0.0921,99.68,0.00
MSK185,YSMAA3_1_H1,91.20,[88.1 - 93.5%],0.0745,97.67,81.10,[78.2 - 83.7%],0.0221,91.4,92.10,[89.7 - 94.1%],0.0949,99.65,0.19
MSK185,YSMAA5_1_D11,93.80,[91.1 - 95.6%],0.0593,98.38,79.70,[76.8 - 82.4%],0.0237,90.36,93.90,[91.8 - 95.6%],0.0816,99.78,0.20
