,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
KPL3804,CT01,93.40,[90.7 - 95.3%],0.0615,98.3,81.70,[78.8 - 84.2%],0.0214,91.79,94.00,[91.8 - 95.6%],0.0816,99.78,0.11
KPL3804,CTNIH2,91.70,[88.7 - 94%],0.0714,97.84,80.40,[77.5 - 83%],0.0229,90.89,92.50,[90.1 - 94.3%],0.0926,99.68,0.12
KPL3804,CTNIH6,93.00,[90.2 - 95%],0.0639,98.2,80.80,[77.9 - 83.4%],0.0225,91.16,93.50,[91.3 - 95.2%],0.0849,99.75,0.07
KPL3804,CTNIH14,89.90,[86.6 - 92.4%],0.0815,97.25,81.20,[78.3 - 83.8%],0.0219,91.49,91.20,[88.6 - 93.2%],0.1016,99.56,0.05
KPL3804,CTNIH24,91.60,[88.6 - 93.9%],0.0719,97.81,80.40,[77.5 - 83%],0.0229,90.88,92.40,[90 - 94.3%],0.0931,99.67,0.11
KPL3804,CTNIH27,92.40,[89.5 - 94.5%],0.0677,98.02,80.70,[77.8 - 83.3%],0.0225,91.13,93.00,[90.7 - 94.8%],0.0887,99.72,0.21
KPL3804,EYE_346,99.80,[99.5 - 99.9%],0.0081,99.53,99.90,[99.8 - 99.9%],0.0003,98.27,99.90,[99.8 - 100%],0.0083,99.98,0.06
KPL3804,EYE_437,89.40,[86.1 - 92%],0.0840,97.08,80.90,[78 - 83.5%],0.0223,91.23,90.80,[88.1 - 92.9%],0.1045,99.51,0.19
KPL3804,FDAARGOS_1055,91.50,[88.5 - 93.8%],0.0725,97.78,83.20,[80.4 - 85.7%],0.0197,92.73,92.70,[90.4 - 94.5%],0.0908,99.7,0.05
KPL3804,KPL2825,91.80,[88.8 - 94%],0.0708,97.87,83.80,[81 - 86.2%],0.0190,93.08,93.00,[90.7 - 94.8%],0.0885,99.72,0.08
KPL3804,KPL3649,93.90,[91.4 - 95.8%],0.0582,98.43,85.90,[83.3 - 88.2%],0.0166,94.19,94.90,[93 - 96.4%],0.0738,99.83,0.01
KPL3804,KPL3804,100.00,[100 - 100%],0.0002,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0002,99.99,0.00
KPL3804,KPL4035,93.30,[90.7 - 95.3%],0.0618,98.28,78.60,[75.7 - 81.3%],0.0250,89.45,93.50,[91.2 - 95.2%],0.0852,99.75,0.08
KPL3804,KPL4072,94.10,[91.5 - 95.9%],0.0575,98.45,81.40,[78.5 - 83.9%],0.0218,91.58,94.40,[92.4 - 95.9%],0.0780,99.81,0.04
KPL3804,LK1134,92.70,[89.8 - 94.8%],0.0658,98.11,80.70,[77.8 - 83.3%],0.0225,91.14,93.30,[91 - 95%],0.0869,99.73,0.15
KPL3804,MSK071,93.80,[91.2 - 95.7%],0.0588,98.4,85.80,[83.1 - 88.1%],0.0168,94.11,94.80,[92.9 - 96.3%],0.0746,99.83,0.00
KPL3804,MSK163,99.70,[99.3 - 99.8%],0.0094,99.52,99.80,[99.6 - 99.9%],0.0005,98.23,99.90,[99.7 - 99.9%],0.0099,99.98,0.02
KPL3804,MSK185,93.20,[90.5 - 95.2%],0.0628,98.24,80.00,[77.1 - 82.7%],0.0233,90.6,93.60,[91.3 - 95.2%],0.0847,99.75,0.15
KPL3804,MSK194,99.80,[99.6 - 99.9%],0.0068,99.55,99.90,[99.8 - 100%],0.0002,98.27,99.90,[99.9 - 100%],0.0070,99.98,0.02
KPL3804,P5_C4,92.00,[89 - 94.2%],0.0698,97.92,78.00,[75 - 80.7%],0.0258,88.88,92.30,[89.9 - 94.2%],0.0938,99.66,0.18
KPL3804,P7_C1,94.30,[91.9 - 96.1%],0.0558,98.52,81.20,[78.3 - 83.8%],0.0220,91.46,94.60,[92.6 - 96.1%],0.0765,99.82,0.03
KPL3804,P7_F1,94.60,[92.1 - 96.3%],0.0542,98.57,81.20,[78.3 - 83.8%],0.0219,91.47,94.80,[92.8 - 96.2%],0.0750,99.82,0.05
KPL3804,SB,81.10,[77.2 - 84.5%],0.1269,92.06,67.10,[64.1 - 70%],0.0402,72.45,81.30,[77.9 - 84.2%],0.1621,96.44,1.01
KPL3804,YSMAA1_1_C6,90.40,[87.2 - 92.9%],0.0785,97.43,80.80,[77.9 - 83.4%],0.0224,91.18,91.50,[89 - 93.5%],0.0992,99.59,0.07
KPL3804,YSMAA1_2_B7,94.60,[92.2 - 96.3%],0.0539,98.58,86.60,[84 - 88.9%],0.0158,94.49,95.50,[93.7 - 96.8%],0.0689,99.86,0.15
KPL3804,YSMAA1_2_G9,90.80,[87.7 - 93.2%],0.0763,97.57,81.50,[78.7 - 84.1%],0.0216,91.7,92.00,[89.5 - 93.9%],0.0963,99.63,0.15
KPL3804,YSMAA3_1_H1,94.90,[92.6 - 96.5%],0.0519,98.65,95.00,[93.4 - 96.2%],0.0066,97.2,96.70,[95.2 - 97.7%],0.0582,99.9,0.04
KPL3804,YSMAA5_1_D11,99.70,[99.3 - 99.9%],0.0093,99.52,99.60,[99.4 - 99.8%],0.0008,98.2,99.90,[99.7 - 99.9%],0.0100,99.98,0.04
