,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
P5_C4,CT01,90.20,[87 - 92.7%],0.0797,97.36,75.50,[72.5 - 78.2%],0.0289,86.28,90.50,[87.8 - 92.6%],0.1063,99.48,0.29
P5_C4,CTNIH2,92.30,[89.4 - 94.4%],0.0683,98,84.80,[82.1 - 87.2%],0.0178,93.65,93.50,[91.3 - 95.2%],0.0848,99.75,0.06
P5_C4,CTNIH6,91.60,[88.5 - 93.8%],0.0722,97.79,77.70,[74.7 - 80.4%],0.0261,88.64,91.90,[89.4 - 93.9%],0.0964,99.63,0.11
P5_C4,CTNIH14,89.00,[85.6 - 91.7%],0.0863,96.92,76.90,[73.9 - 79.6%],0.0271,87.84,89.80,[87 - 92%],0.1110,99.38,0.23
P5_C4,CTNIH24,92.20,[89.3 - 94.3%],0.0688,97.97,84.80,[82.1 - 87.2%],0.0178,93.63,93.50,[91.2 - 95.2%],0.0854,99.75,0.07
P5_C4,CTNIH27,91.00,[87.9 - 93.4%],0.0754,97.62,77.60,[74.6 - 80.3%],0.0263,88.5,91.50,[88.9 - 93.5%],0.0997,99.59,0.02
P5_C4,EYE_346,92.30,[89.4 - 94.5%],0.0679,98.01,78.30,[75.4 - 81%],0.0253,89.2,92.60,[90.2 - 94.5%],0.0916,99.69,0.25
P5_C4,EYE_437,86.80,[83.3 - 89.8%],0.0976,95.96,76.70,[73.7 - 79.5%],0.0273,87.65,88.00,[85 - 90.4%],0.1223,99.09,0.38
P5_C4,FDAARGOS_1055,87.60,[84.1 - 90.4%],0.0936,96.33,77.00,[74 - 79.8%],0.0269,87.96,88.70,[85.8 - 91%],0.1180,99.22,0.14
P5_C4,KPL2825,89.60,[86.3 - 92.2%],0.0830,97.15,77.00,[74 - 79.8%],0.0269,87.97,90.30,[87.5 - 92.4%],0.1077,99.45,0.26
P5_C4,KPL3649,92.70,[89.9 - 94.8%],0.0654,98.13,77.20,[74.2 - 79.9%],0.0267,88.13,92.80,[90.4 - 94.6%],0.0904,99.7,0.19
P5_C4,KPL3804,92.00,[89 - 94.2%],0.0698,97.92,78.00,[75 - 80.7%],0.0258,88.88,92.30,[89.9 - 94.2%],0.0938,99.66,0.18
P5_C4,KPL4035,98.70,[97.8 - 99.3%],0.0218,99.35,98.00,[97.1 - 98.6%],0.0031,97.85,99.30,[98.8 - 99.6%],0.0249,99.97,0.10
P5_C4,KPL4072,94.00,[91.4 - 95.8%],0.0578,98.44,81.30,[78.4 - 83.9%],0.0218,91.54,94.40,[92.3 - 95.9%],0.0784,99.8,0.15
P5_C4,LK1134,91.10,[88 - 93.5%],0.0748,97.65,76.10,[73.1 - 78.9%],0.0281,87,91.30,[88.7 - 93.3%],0.1008,99.57,0.34
P5_C4,MSK071,92.50,[89.6 - 94.6%],0.0669,98.06,77.10,[74.1 - 79.8%],0.0269,87.99,92.60,[90.2 - 94.4%],0.0920,99.68,0.19
P5_C4,MSK163,92.30,[89.4 - 94.4%],0.0682,98,77.80,[74.8 - 80.5%],0.0260,88.73,92.50,[90.1 - 94.4%],0.0924,99.68,0.20
P5_C4,MSK185,91.30,[88.2 - 93.6%],0.0739,97.71,75.90,[72.9 - 78.6%],0.0284,86.74,91.40,[88.8 - 93.4%],0.1002,99.58,0.34
P5_C4,MSK194,92.40,[89.5 - 94.5%],0.0676,98.03,78.10,[75.1 - 80.8%],0.0256,88.98,92.60,[90.2 - 94.5%],0.0915,99.69,0.20
P5_C4,P5_C4,100.00,[100 - NaN%],0.0000,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - NaN%],0.0000,99.99,0.00
P5_C4,P7_C1,94.00,[91.4 - 95.8%],0.0579,98.44,83.50,[80.7 - 86%],0.0193,92.95,94.70,[92.6 - 96.1%],0.0761,99.82,0.21
P5_C4,P7_F1,94.20,[91.7 - 96%],0.0563,98.5,83.50,[80.7 - 86%],0.0193,92.93,94.80,[92.9 - 96.3%],0.0745,99.83,0.23
P5_C4,SB,78.90,[75 - 82.4%],0.1377,89.9,66.80,[63.8 - 69.6%],0.0407,71.68,79.40,[76 - 82.5%],0.1728,94.89,0.83
P5_C4,YSMAA1_1_C6,90.00,[86.7 - 92.5%],0.0811,97.27,75.80,[72.8 - 78.6%],0.0285,86.66,90.30,[87.6 - 92.5%],0.1073,99.46,0.12
P5_C4,YSMAA1_2_B7,89.80,[86.5 - 92.3%],0.0821,97.21,78.40,[75.4 - 81.1%],0.0253,89.24,90.60,[88 - 92.8%],0.1053,99.5,0.33
P5_C4,YSMAA1_2_G9,89.30,[86 - 91.9%],0.0845,97.04,77.60,[74.6 - 80.3%],0.0262,88.54,90.10,[87.4 - 92.3%],0.1085,99.44,0.34
P5_C4,YSMAA3_1_H1,88.90,[85.6 - 91.6%],0.0866,96.89,78.70,[75.8 - 81.4%],0.0249,89.53,90.00,[87.3 - 92.2%],0.1094,99.42,0.14
P5_C4,YSMAA5_1_D11,91.90,[89 - 94.1%],0.0701,97.9,78.10,[75.1 - 80.8%],0.0256,88.97,92.30,[89.8 - 94.2%],0.0940,99.66,0.14
