,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
CTNIH14,CT01,94.20,[91.7 - 96%],0.0567,98.48,83.40,[80.5 - 85.8%],0.0195,92.84,94.80,[92.8 - 96.2%],0.0751,99.82,0.06
CTNIH14,CTNIH2,90.40,[87.3 - 92.9%],0.0784,97.44,78.70,[75.8 - 81.4%],0.0249,89.54,91.20,[88.6 - 93.3%],0.1014,99.56,0.17
CTNIH14,CTNIH6,91.50,[88.4 - 93.8%],0.0728,97.77,82.10,[79.2 - 84.6%],0.0209,92.07,92.50,[90.1 - 94.4%],0.0921,99.68,0.12
CTNIH14,CTNIH14,100.00,[100 - NaN%],0.0000,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - NaN%],0.0000,99.99,0.00
CTNIH14,CTNIH24,90.10,[86.9 - 92.6%],0.0801,97.34,78.70,[75.7 - 81.4%],0.0249,89.53,91.00,[88.3 - 93.1%],0.1030,99.53,0.16
CTNIH14,CTNIH27,90.80,[87.6 - 93.2%],0.0767,97.54,82.10,[79.3 - 84.7%],0.0209,92.08,92.00,[89.5 - 93.9%],0.0960,99.63,0.26
CTNIH14,EYE_346,91.10,[88 - 93.4%],0.0749,97.65,81.20,[78.3 - 83.8%],0.0219,91.48,92.10,[89.6 - 94%],0.0952,99.65,0.02
CTNIH14,EYE_437,93.90,[91.3 - 95.7%],0.0587,98.41,82.10,[79.3 - 84.7%],0.0209,92.1,94.40,[92.3 - 95.9%],0.0784,99.8,0.15
CTNIH14,FDAARGOS_1055,89.90,[86.6 - 92.4%],0.0815,97.25,85.60,[82.9 - 87.9%],0.0169,94.03,91.80,[89.3 - 93.8%],0.0970,99.62,0.09
CTNIH14,KPL2825,91.90,[89 - 94.1%],0.0702,97.9,85.00,[82.3 - 87.4%],0.0176,93.73,93.30,[91 - 95%],0.0866,99.74,0.03
CTNIH14,KPL3649,91.40,[88.4 - 93.7%],0.0729,97.76,81.90,[79 - 84.4%],0.0212,91.92,92.50,[90.1 - 94.3%],0.0925,99.68,0.04
CTNIH14,KPL3804,89.90,[86.6 - 92.4%],0.0815,97.25,81.20,[78.3 - 83.8%],0.0219,91.49,91.20,[88.6 - 93.2%],0.1016,99.56,0.05
CTNIH14,KPL4035,88.80,[85.5 - 91.5%],0.0872,96.85,77.30,[74.3 - 80%],0.0266,88.22,89.70,[86.9 - 91.9%],0.1115,99.38,0.13
CTNIH14,KPL4072,90.30,[87 - 92.7%],0.0795,97.37,79.90,[77 - 82.5%],0.0235,90.51,91.20,[88.7 - 93.3%],0.1011,99.56,0.08
CTNIH14,LK1134,95.40,[93.3 - 96.9%],0.0484,98.76,85.70,[83.1 - 88%],0.0168,94.09,96.00,[94.3 - 97.2%],0.0644,99.88,0.11
CTNIH14,MSK071,91.20,[88.2 - 93.6%],0.0740,97.7,81.70,[78.9 - 84.3%],0.0213,91.83,92.30,[89.9 - 94.2%],0.0938,99.66,0.05
CTNIH14,MSK163,90.30,[87.1 - 92.8%],0.0792,97.39,81.20,[78.3 - 83.8%],0.0219,91.47,91.50,[88.9 - 93.5%],0.0994,99.59,0.03
CTNIH14,MSK185,93.10,[90.3 - 95.1%],0.0634,98.22,82.20,[79.4 - 84.7%],0.0208,92.14,93.80,[91.6 - 95.4%],0.0829,99.77,0.11
CTNIH14,MSK194,90.80,[87.6 - 93.2%],0.0768,97.54,81.20,[78.3 - 83.8%],0.0219,91.47,91.80,[89.3 - 93.8%],0.0970,99.62,0.03
CTNIH14,P5_C4,89.00,[85.6 - 91.7%],0.0863,96.92,76.90,[73.9 - 79.6%],0.0271,87.84,89.80,[87 - 92%],0.1110,99.38,0.23
CTNIH14,P7_C1,92.50,[89.7 - 94.7%],0.0665,98.08,81.10,[78.2 - 83.7%],0.0221,91.4,93.20,[90.9 - 95%],0.0871,99.73,0.02
CTNIH14,P7_F1,92.80,[90 - 94.9%],0.0651,98.14,81.10,[78.2 - 83.7%],0.0221,91.38,93.40,[91.2 - 95.1%],0.0858,99.74,0.00
CTNIH14,SB,79.80,[75.9 - 83.2%],0.1334,90.83,67.30,[64.3 - 70.1%],0.0400,72.8,80.20,[76.8 - 83.3%],0.1680,95.64,1.06
CTNIH14,YSMAA1_1_C6,93.50,[90.8 - 95.4%],0.0610,98.32,84.40,[81.7 - 86.8%],0.0183,93.43,94.40,[92.3 - 95.9%],0.0781,99.8,0.11
CTNIH14,YSMAA1_2_B7,92.60,[89.8 - 94.7%],0.0662,98.09,85.60,[82.9 - 87.9%],0.0170,94.01,93.90,[91.7 - 95.5%],0.0820,99.78,0.10
CTNIH14,YSMAA1_2_G9,93.20,[90.5 - 95.2%],0.0626,98.25,86.00,[83.3 - 88.3%],0.0165,94.2,94.40,[92.3 - 95.9%],0.0782,99.8,0.11
CTNIH14,YSMAA3_1_H1,88.90,[85.5 - 91.6%],0.0868,96.88,80.80,[77.9 - 83.4%],0.0224,91.2,90.30,[87.6 - 92.5%],0.1072,99.46,0.09
CTNIH14,YSMAA5_1_D11,89.90,[86.6 - 92.4%],0.0816,97.24,81.00,[78.1 - 83.6%],0.0222,91.34,91.10,[88.5 - 93.2%],0.1019,99.55,0.09
