,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
YSMAA1_2_B7,CT01,94.30,[91.8 - 96%],0.0560,98.51,84.60,[81.9 - 87%],0.0181,93.53,95.00,[93.1 - 96.4%],0.0731,99.84,0.04
YSMAA1_2_B7,CTNIH2,92.50,[89.7 - 94.7%],0.0666,98.08,80.50,[77.5 - 83.1%],0.0228,90.93,93.10,[90.8 - 94.9%],0.0878,99.73,0.27
YSMAA1_2_B7,CTNIH6,91.30,[88.3 - 93.6%],0.0736,97.72,84.60,[81.8 - 87%],0.0181,93.52,92.80,[90.4 - 94.6%],0.0903,99.7,0.22
YSMAA1_2_B7,CTNIH14,92.60,[89.8 - 94.7%],0.0662,98.09,85.60,[82.9 - 87.9%],0.0170,94.01,93.90,[91.7 - 95.5%],0.0820,99.78,0.10
YSMAA1_2_B7,CTNIH24,92.30,[89.4 - 94.4%],0.0681,98,80.40,[77.5 - 83%],0.0229,90.89,92.90,[90.6 - 94.7%],0.0895,99.71,0.26
YSMAA1_2_B7,CTNIH27,90.60,[87.5 - 93.1%],0.0774,97.5,84.50,[81.8 - 86.9%],0.0181,93.5,92.30,[89.8 - 94.1%],0.0942,99.66,0.36
YSMAA1_2_B7,EYE_346,95.50,[93.3 - 97%],0.0480,98.77,86.60,[84 - 88.9%],0.0158,94.5,96.20,[94.5 - 97.3%],0.0631,99.88,0.08
YSMAA1_2_B7,EYE_437,93.00,[90.3 - 95%],0.0638,98.2,83.20,[80.4 - 85.7%],0.0197,92.75,93.90,[91.7 - 95.5%],0.0822,99.77,0.05
YSMAA1_2_B7,FDAARGOS_1055,94.80,[92.4 - 96.4%],0.0530,98.61,88.40,[85.9 - 90.5%],0.0139,95.21,95.80,[94.1 - 97.1%],0.0661,99.87,0.19
YSMAA1_2_B7,KPL2825,93.50,[90.8 - 95.4%],0.0611,98.31,88.30,[85.8 - 90.4%],0.0140,95.17,94.90,[92.9 - 96.3%],0.0743,99.83,0.07
YSMAA1_2_B7,KPL3649,93.70,[91.1 - 95.6%],0.0598,98.36,84.70,[81.9 - 87.1%],0.0180,93.56,94.60,[92.5 - 96.1%],0.0767,99.81,0.14
YSMAA1_2_B7,KPL3804,94.60,[92.2 - 96.3%],0.0539,98.58,86.60,[84 - 88.9%],0.0158,94.49,95.50,[93.7 - 96.8%],0.0689,99.86,0.15
YSMAA1_2_B7,KPL4035,90.80,[87.7 - 93.2%],0.0763,97.57,78.90,[75.9 - 81.6%],0.0247,89.67,91.50,[89 - 93.5%],0.0991,99.59,0.23
YSMAA1_2_B7,KPL4072,92.60,[89.7 - 94.7%],0.0664,98.08,82.70,[79.9 - 85.2%],0.0202,92.46,93.50,[91.2 - 95.2%],0.0852,99.75,0.18
YSMAA1_2_B7,LK1134,94.00,[91.4 - 95.8%],0.0579,98.44,85.00,[82.2 - 87.3%],0.0177,93.71,94.80,[92.9 - 96.3%],0.0745,99.83,0.01
YSMAA1_2_B7,MSK071,93.20,[90.5 - 95.2%],0.0628,98.24,84.70,[82 - 87.1%],0.0180,93.57,94.20,[92.1 - 95.8%],0.0796,99.79,0.15
YSMAA1_2_B7,MSK163,95.10,[92.8 - 96.7%],0.0508,98.69,86.70,[84 - 88.9%],0.0158,94.51,95.90,[94.1 - 97.1%],0.0658,99.87,0.13
YSMAA1_2_B7,MSK185,95.00,[92.7 - 96.6%],0.0513,98.67,82.90,[80.1 - 85.4%],0.0200,92.58,95.30,[93.5 - 96.7%],0.0703,99.85,0.01
YSMAA1_2_B7,MSK194,95.10,[92.8 - 96.6%],0.0511,98.68,86.60,[84 - 88.8%],0.0159,94.48,95.80,[94.1 - 97.1%],0.0661,99.87,0.13
YSMAA1_2_B7,P5_C4,89.80,[86.5 - 92.3%],0.0821,97.21,78.40,[75.4 - 81.1%],0.0253,89.24,90.60,[88 - 92.8%],0.1053,99.5,0.33
