,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
CT01,CT01,100.00,[100 - NaN%],0.0000,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - NaN%],0.0000,99.99,0.00
CT01,CTNIH2,90.70,[87.5 - 93.1%],0.0771,97.52,77.70,[74.7 - 80.4%],0.0261,88.61,91.20,[88.6 - 93.3%],0.1012,99.56,0.23
CT01,CTNIH6,92.30,[89.4 - 94.5%],0.0679,98.01,80.30,[77.4 - 82.9%],0.0230,90.83,92.90,[90.6 - 94.7%],0.0893,99.71,0.18
CT01,CTNIH14,94.20,[91.7 - 96%],0.0567,98.48,83.40,[80.5 - 85.8%],0.0195,92.84,94.80,[92.8 - 96.2%],0.0751,99.82,0.06
CT01,CTNIH24,90.50,[87.4 - 93%],0.0780,97.47,77.70,[74.7 - 80.4%],0.0262,88.58,91.10,[88.5 - 93.2%],0.1021,99.55,0.22
CT01,CTNIH27,91.60,[88.6 - 93.9%],0.0719,97.81,80.30,[77.4 - 82.9%],0.0230,90.83,92.40,[90 - 94.3%],0.0932,99.67,0.31
CT01,EYE_346,94.10,[91.6 - 95.9%],0.0572,98.46,81.90,[79 - 84.5%],0.0211,91.95,94.50,[92.5 - 96%],0.0771,99.81,0.04
CT01,EYE_437,93.50,[90.8 - 95.4%],0.0611,98.31,90.60,[88.4 - 92.5%],0.0115,96,95.20,[93.3 - 96.5%],0.0719,99.84,0.09
CT01,FDAARGOS_1055,92.40,[89.5 - 94.5%],0.0674,98.03,84.40,[81.7 - 86.8%],0.0183,93.43,93.60,[91.4 - 95.3%],0.0845,99.76,0.15
CT01,KPL2825,91.20,[88.2 - 93.6%],0.0740,97.7,83.60,[80.8 - 86.1%],0.0192,92.98,92.60,[90.2 - 94.4%],0.0918,99.69,0.03
CT01,KPL3649,95.40,[93.3 - 96.9%],0.0485,98.76,81.20,[78.3 - 83.8%],0.0219,91.5,95.50,[93.6 - 96.8%],0.0693,99.86,0.10
CT01,KPL3804,93.40,[90.7 - 95.3%],0.0615,98.3,81.70,[78.8 - 84.2%],0.0214,91.79,94.00,[91.8 - 95.6%],0.0816,99.78,0.11
CT01,KPL4035,90.90,[87.8 - 93.3%],0.0757,97.6,75.80,[72.8 - 78.6%],0.0284,86.68,91.10,[88.5 - 93.2%],0.1020,99.55,0.19
CT01,KPL4072,92.20,[89.3 - 94.4%],0.0686,97.98,79.80,[76.9 - 82.5%],0.0236,90.44,92.80,[90.4 - 94.6%],0.0906,99.7,0.14
CT01,LK1134,97.40,[95.9 - 98.4%],0.0337,99.13,84.20,[81.4 - 86.6%],0.0186,93.29,97.30,[96 - 98.2%],0.0516,99.92,0.05
CT01,MSK071,94.50,[92.1 - 96.2%],0.0545,98.56,80.90,[78 - 83.5%],0.0223,91.26,94.70,[92.7 - 96.2%],0.0756,99.82,0.10
CT01,MSK163,93.90,[91.4 - 95.8%],0.0581,98.43,81.60,[78.7 - 84.1%],0.0215,91.73,94.40,[92.3 - 95.9%],0.0784,99.8,0.09
CT01,MSK185,95.10,[92.9 - 96.7%],0.0504,98.7,81.70,[78.8 - 84.3%],0.0214,91.81,95.30,[93.4 - 96.6%],0.0707,99.85,0.05
CT01,MSK194,93.80,[91.2 - 95.7%],0.0589,98.4,81.70,[78.8 - 84.3%],0.0213,91.82,94.30,[92.2 - 95.8%],0.0790,99.8,0.09
CT01,P5_C4,90.20,[87 - 92.7%],0.0797,97.36,75.50,[72.5 - 78.2%],0.0289,86.28,90.50,[87.8 - 92.6%],0.1063,99.48,0.29
CT01,P7_C1,93.10,[90.4 - 95.1%],0.0631,98.23,79.10,[76.2 - 81.8%],0.0244,89.9,93.40,[91.1 - 95.1%],0.0860,99.74,0.08
CT01,P7_F1,93.40,[90.7 - 95.3%],0.0617,98.29,79.20,[76.2 - 81.9%],0.0243,89.93,93.60,[91.3 - 95.2%],0.0846,99.76,0.06
CT01,SB,80.40,[76.5 - 83.8%],0.1302,91.46,67.30,[64.3 - 70.1%],0.0400,72.83,80.80,[77.4 - 83.8%],0.1650,96.07,1.12
CT01,YSMAA1_1_C6,95.90,[93.8 - 97.3%],0.0455,98.84,85.70,[83 - 88%],0.0168,94.08,96.30,[94.7 - 97.5%],0.0616,99.89,0.17
CT01,YSMAA1_2_B7,94.30,[91.8 - 96%],0.0560,98.51,84.60,[81.9 - 87%],0.0181,93.53,95.00,[93.1 - 96.4%],0.0731,99.84,0.04
CT01,YSMAA1_2_G9,92.40,[89.5 - 94.5%],0.0676,98.03,81.30,[78.4 - 83.9%],0.0219,91.52,93.10,[90.8 - 94.9%],0.0880,99.72,0.05
CT01,YSMAA3_1_H1,92.00,[89.1 - 94.2%],0.0696,97.93,82.60,[79.7 - 85.1%],0.0204,92.38,93.00,[90.7 - 94.8%],0.0885,99.72,0.15
CT01,YSMAA5_1_D11,93.70,[91 - 95.5%],0.0599,98.36,81.60,[78.7 - 84.2%],0.0215,91.76,94.10,[92 - 95.7%],0.0801,99.79,0.15
