,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
MSK071,CT01,94.50,[92.1 - 96.2%],0.0545,98.56,80.90,[78 - 83.5%],0.0223,91.26,94.70,[92.7 - 96.2%],0.0756,99.82,0.10
MSK071,CTNIH2,94.00,[91.4 - 95.8%],0.0581,98.43,79.60,[76.7 - 82.3%],0.0238,90.29,94.10,[92 - 95.7%],0.0805,99.79,0.12
MSK071,CTNIH6,93.60,[91 - 95.5%],0.0600,98.36,85.80,[83.1 - 88.1%],0.0167,94.11,94.70,[92.7 - 96.2%],0.0757,99.82,0.08
MSK071,CTNIH14,91.20,[88.2 - 93.6%],0.0740,97.7,81.70,[78.9 - 84.3%],0.0213,91.83,92.30,[89.9 - 94.2%],0.0938,99.66,0.05
MSK071,CTNIH24,93.90,[91.4 - 95.8%],0.0583,98.42,79.60,[76.7 - 82.3%],0.0238,90.27,94.10,[91.9 - 95.7%],0.0807,99.79,0.11
MSK071,CTNIH27,93.00,[90.3 - 95%],0.0637,98.2,85.60,[82.9 - 87.9%],0.0169,94.03,94.20,[92.1 - 95.8%],0.0796,99.79,0.21
MSK071,EYE_346,94.50,[92.1 - 96.2%],0.0547,98.56,85.90,[83.3 - 88.2%],0.0166,94.18,95.30,[93.5 - 96.7%],0.0703,99.85,0.06
MSK071,EYE_437,91.40,[88.3 - 93.7%],0.0732,97.74,80.60,[77.7 - 83.3%],0.0226,91.07,92.20,[89.8 - 94.1%],0.0942,99.66,0.19
MSK071,FDAARGOS_1055,93.30,[90.6 - 95.3%],0.0619,98.28,84.30,[81.6 - 86.7%],0.0184,93.38,94.30,[92.2 - 95.8%],0.0791,99.8,0.05
MSK071,KPL2825,90.60,[87.5 - 93.1%],0.0774,97.5,84.50,[81.7 - 86.9%],0.0182,93.45,92.20,[89.8 - 94.1%],0.0942,99.66,0.08
MSK071,KPL3649,99.80,[99.6 - 99.9%],0.0066,99.55,99.80,[99.6 - 99.9%],0.0005,98.24,99.90,[99.8 - 100%],0.0071,99.98,0.00
MSK071,KPL3804,93.80,[91.2 - 95.7%],0.0588,98.4,85.80,[83.1 - 88.1%],0.0168,94.11,94.80,[92.9 - 96.3%],0.0746,99.83,0.00
MSK071,KPL4035,92.40,[89.5 - 94.5%],0.0675,98.03,77.30,[74.3 - 80.1%],0.0266,88.27,92.50,[90.1 - 94.4%],0.0923,99.68,0.09
MSK071,KPL4072,93.50,[90.9 - 95.4%],0.0608,98.33,80.40,[77.5 - 83%],0.0229,90.9,93.90,[91.7 - 95.5%],0.0823,99.77,0.04
MSK071,LK1134,95.30,[93.1 - 96.8%],0.0495,98.73,81.50,[78.6 - 84.1%],0.0216,91.69,95.40,[93.5 - 96.7%],0.0700,99.85,0.15
MSK071,MSK071,100.00,[100 - 100%],0.0002,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - 100%],0.0002,99.99,0.00
MSK071,MSK163,94.50,[92 - 96.2%],0.0549,98.55,85.70,[83 - 88%],0.0168,94.07,95.30,[93.4 - 96.6%],0.0708,99.85,0.02
MSK071,MSK185,95.40,[93.2 - 96.9%],0.0485,98.76,80.60,[77.7 - 83.3%],0.0226,91.07,95.40,[93.5 - 96.7%],0.0700,99.85,0.15
MSK071,MSK194,94.30,[91.8 - 96%],0.0562,98.5,85.80,[83.1 - 88.1%],0.0168,94.1,95.10,[93.3 - 96.5%],0.0720,99.84,0.01
MSK071,P5_C4,92.50,[89.6 - 94.6%],0.0669,98.06,77.10,[74.1 - 79.8%],0.0269,87.99,92.60,[90.2 - 94.4%],0.0920,99.68,0.19
MSK071,P7_C1,95.80,[93.7 - 97.2%],0.0458,98.83,80.50,[77.6 - 83.1%],0.0227,90.98,95.70,[93.9 - 96.9%],0.0675,99.86,0.02
MSK071,P7_F1,96.10,[94.1 - 97.4%],0.0442,98.88,80.50,[77.6 - 83.1%],0.0228,90.96,95.80,[94.1 - 97.1%],0.0659,99.87,0.05
MSK071,SB,80.20,[76.3 - 83.7%],0.1312,91.26,66.70,[63.7 - 69.5%],0.0409,71.42,80.50,[77.1 - 83.5%],0.1667,95.83,1.01
MSK071,YSMAA1_1_C6,94.10,[91.6 - 95.9%],0.0570,98.47,82.50,[79.7 - 85%],0.0204,92.34,94.60,[92.6 - 96.1%],0.0762,99.82,0.07
MSK071,YSMAA1_2_B7,93.20,[90.5 - 95.2%],0.0628,98.24,84.70,[82 - 87.1%],0.0180,93.57,94.20,[92.1 - 95.8%],0.0796,99.79,0.15
MSK071,YSMAA1_2_G9,90.40,[87.3 - 92.9%],0.0785,97.44,80.40,[77.5 - 83.1%],0.0228,90.92,91.50,[88.9 - 93.5%],0.0995,99.59,0.15
MSK071,YSMAA3_1_H1,89.30,[86 - 91.9%],0.0846,97.04,84.30,[81.6 - 86.7%],0.0184,93.37,91.20,[88.6 - 93.3%],0.1014,99.56,0.04
MSK071,YSMAA5_1_D11,94.60,[92.2 - 96.3%],0.0540,98.58,85.70,[83.1 - 88.1%],0.0168,94.09,95.40,[93.6 - 96.7%],0.0699,99.85,0.05
