,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
CTNIH2,CT01,90.70,[87.5 - 93.1%],0.0771,97.52,77.70,[74.7 - 80.4%],0.0261,88.61,91.20,[88.6 - 93.3%],0.1012,99.56,0.23
CTNIH2,CTNIH2,100.00,[100 - NaN%],0.0000,99.62,100.00,[100 - NaN%],0.0000,98.3,100.00,[100 - NaN%],0.0000,99.99,0.00
CTNIH2,CTNIH6,91.50,[88.4 - 93.8%],0.0727,97.77,80.30,[77.3 - 82.9%],0.0231,90.78,92.30,[89.8 - 94.2%],0.0941,99.66,0.05
CTNIH2,CTNIH14,90.40,[87.3 - 92.9%],0.0784,97.44,78.70,[75.8 - 81.4%],0.0249,89.54,91.20,[88.6 - 93.3%],0.1014,99.56,0.17
CTNIH2,CTNIH24,100.00,[100 - 100%],0.0015,99.6,100.00,[99.9 - 100%],0.0001,98.29,100.00,[100 - 100%],0.0016,99.99,0.01
CTNIH2,CTNIH27,90.90,[87.8 - 93.3%],0.0758,97.6,80.10,[77.1 - 82.7%],0.0233,90.64,91.80,[89.3 - 93.8%],0.0973,99.62,0.09
CTNIH2,EYE_346,92.30,[89.5 - 94.5%],0.0678,98.02,80.60,[77.7 - 83.2%],0.0227,91.04,93.00,[90.7 - 94.8%],0.0889,99.72,0.19
CTNIH2,EYE_437,88.90,[85.6 - 91.6%],0.0867,96.89,78.50,[75.6 - 81.2%],0.0251,89.37,90.00,[87.2 - 92.2%],0.1096,99.41,0.32
CTNIH2,FDAARGOS_1055,88.00,[84.5 - 90.8%],0.0918,96.49,80.10,[77.2 - 82.7%],0.0232,90.66,89.50,[86.7 - 91.8%],0.1129,99.34,0.08
CTNIH2,KPL2825,88.40,[85 - 91.1%],0.0894,96.68,80.00,[77.1 - 82.7%],0.0233,90.6,89.80,[87 - 92.1%],0.1107,99.39,0.20
CTNIH2,KPL3649,94.00,[91.5 - 95.8%],0.0577,98.44,79.70,[76.8 - 82.4%],0.0237,90.39,94.20,[92 - 95.7%],0.0800,99.79,0.13
CTNIH2,KPL3804,91.70,[88.7 - 94%],0.0714,97.84,80.40,[77.5 - 83%],0.0229,90.89,92.50,[90.1 - 94.3%],0.0926,99.68,0.12
CTNIH2,KPL4035,92.30,[89.4 - 94.4%],0.0681,98,84.80,[82.1 - 87.2%],0.0179,93.62,93.50,[91.3 - 95.2%],0.0847,99.75,0.04
CTNIH2,KPL4072,92.50,[89.7 - 94.6%],0.0667,98.07,84.00,[81.2 - 86.4%],0.0188,93.19,93.60,[91.4 - 95.3%],0.0842,99.76,0.09
CTNIH2,LK1134,92.00,[89 - 94.2%],0.0699,97.92,78.00,[75 - 80.7%],0.0258,88.87,92.30,[89.9 - 94.2%],0.0939,99.66,0.28
CTNIH2,MSK071,94.00,[91.4 - 95.8%],0.0581,98.43,79.60,[76.7 - 82.3%],0.0238,90.29,94.10,[92 - 95.7%],0.0805,99.79,0.12
CTNIH2,MSK163,92.10,[89.1 - 94.3%],0.0693,97.95,80.50,[77.6 - 83.1%],0.0228,90.96,92.80,[90.4 - 94.6%],0.0905,99.7,0.14
CTNIH2,MSK185,91.70,[88.7 - 94%],0.0712,97.85,78.20,[75.3 - 80.9%],0.0255,89.11,92.10,[89.7 - 94.1%],0.0949,99.65,0.28
CTNIH2,MSK194,92.10,[89.2 - 94.3%],0.0691,97.96,80.40,[77.5 - 83%],0.0229,90.88,92.80,[90.4 - 94.6%],0.0904,99.7,0.14
CTNIH2,P5_C4,92.30,[89.4 - 94.4%],0.0683,98,84.80,[82.1 - 87.2%],0.0178,93.65,93.50,[91.3 - 95.2%],0.0848,99.75,0.06
CTNIH2,P7_C1,94.70,[92.3 - 96.4%],0.0532,98.61,84.40,[81.6 - 86.8%],0.0183,93.4,95.30,[93.5 - 96.7%],0.0706,99.85,0.15
CTNIH2,P7_F1,94.90,[92.6 - 96.6%],0.0519,98.65,84.40,[81.6 - 86.8%],0.0183,93.4,95.50,[93.6 - 96.8%],0.0692,99.86,0.17
CTNIH2,SB,81.70,[77.8 - 85%],0.1239,92.58,67.90,[64.9 - 70.7%],0.0391,74.12,82.00,[78.6 - 84.9%],0.1582,96.87,0.89
CTNIH2,YSMAA1_1_C6,90.20,[87 - 92.7%],0.0799,97.35,78.90,[76 - 81.6%],0.0246,89.74,91.00,[88.4 - 93.1%],0.1026,99.54,0.06
CTNIH2,YSMAA1_2_B7,92.50,[89.7 - 94.7%],0.0666,98.08,80.50,[77.5 - 83.1%],0.0228,90.93,93.10,[90.8 - 94.9%],0.0878,99.73,0.27
CTNIH2,YSMAA1_2_G9,91.80,[88.8 - 94%],0.0711,97.85,79.60,[76.7 - 82.3%],0.0238,90.31,92.40,[90 - 94.3%],0.0932,99.67,0.28
CTNIH2,YSMAA3_1_H1,87.80,[84.3 - 90.6%],0.0924,96.43,81.10,[78.2 - 83.7%],0.0220,91.42,89.50,[86.7 - 91.8%],0.1124,99.35,0.08
CTNIH2,YSMAA5_1_D11,91.70,[88.7 - 94%],0.0714,97.84,80.20,[77.3 - 82.9%],0.0231,90.77,92.40,[90 - 94.3%],0.0928,99.67,0.08
