,,Formula 1,,,,Formula 2,,,,Formula 3,,,,G+C difference
Query genome,Reference genome,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,DDH,Model C.I.,Distance,Prob. DDH >= 70%,
YSMAA3_1_H1,CT01,92.00,[89.1 - 94.2%],0.0696,97.93,82.60,[79.7 - 85.1%],0.0204,92.38,93.00,[90.7 - 94.8%],0.0885,99.72,0.15
YSMAA3_1_H1,CTNIH2,87.80,[84.3 - 90.6%],0.0924,96.43,81.10,[78.2 - 83.7%],0.0220,91.42,89.50,[86.7 - 91.8%],0.1124,99.35,0.08
YSMAA3_1_H1,CTNIH6,90.50,[87.3 - 92.9%],0.0784,97.45,81.50,[78.6 - 84.1%],0.0216,91.69,91.70,[89.1 - 93.7%],0.0983,99.61,0.03
YSMAA3_1_H1,CTNIH14,88.90,[85.5 - 91.6%],0.0868,96.88,80.80,[77.9 - 83.4%],0.0224,91.2,90.30,[87.6 - 92.5%],0.1072,99.46,0.09
YSMAA3_1_H1,CTNIH24,87.50,[84 - 90.4%],0.0940,96.29,81.10,[78.2 - 83.7%],0.0220,91.41,89.30,[86.5 - 91.6%],0.1140,99.32,0.07
YSMAA3_1_H1,CTNIH27,89.80,[86.5 - 92.3%],0.0822,97.2,81.50,[78.6 - 84.1%],0.0216,91.68,91.10,[88.5 - 93.2%],0.1020,99.55,0.17
YSMAA3_1_H1,EYE_346,95.50,[93.3 - 97%],0.0482,98.76,95.10,[93.5 - 96.3%],0.0065,97.22,97.10,[95.7 - 98%],0.0545,99.91,0.10
YSMAA3_1_H1,EYE_437,89.40,[86.1 - 92%],0.0842,97.07,81.30,[78.4 - 83.9%],0.0219,91.52,90.80,[88.1 - 92.9%],0.1042,99.52,0.23
YSMAA3_1_H1,FDAARGOS_1055,91.00,[87.9 - 93.4%],0.0754,97.62,83.50,[80.7 - 86%],0.0193,92.92,92.40,[90 - 94.3%],0.0932,99.67,0.01
YSMAA3_1_H1,KPL2825,90.30,[87.1 - 92.8%],0.0792,97.39,83.20,[80.3 - 85.6%],0.0197,92.73,91.80,[89.3 - 93.8%],0.0974,99.62,0.12
YSMAA3_1_H1,KPL3649,90.70,[87.5 - 93.1%],0.0771,97.52,84.60,[81.8 - 87%],0.0181,93.52,92.30,[89.9 - 94.2%],0.0938,99.66,0.05
YSMAA3_1_H1,KPL3804,94.90,[92.6 - 96.5%],0.0519,98.65,95.00,[93.4 - 96.2%],0.0066,97.2,96.70,[95.2 - 97.7%],0.0582,99.9,0.04
YSMAA3_1_H1,KPL4035,90.60,[87.4 - 93%],0.0778,97.48,79.00,[76.1 - 81.7%],0.0245,89.79,91.40,[88.8 - 93.4%],0.1004,99.57,0.04
YSMAA3_1_H1,KPL4072,91.30,[88.3 - 93.7%],0.0735,97.73,81.80,[78.9 - 84.3%],0.0213,91.84,92.40,[90 - 94.3%],0.0932,99.67,0.00
YSMAA3_1_H1,LK1134,90.30,[87.1 - 92.8%],0.0791,97.4,81.80,[78.9 - 84.4%],0.0213,91.87,91.60,[89.1 - 93.6%],0.0986,99.6,0.19
YSMAA3_1_H1,MSK071,89.30,[86 - 91.9%],0.0846,97.04,84.30,[81.6 - 86.7%],0.0184,93.37,91.20,[88.6 - 93.3%],0.1014,99.56,0.04
YSMAA3_1_H1,MSK163,95.50,[93.4 - 97%],0.0479,98.77,94.80,[93.1 - 96%],0.0069,97.15,97.10,[95.7 - 98%],0.0545,99.91,0.06
YSMAA3_1_H1,MSK185,91.20,[88.1 - 93.5%],0.0745,97.67,81.10,[78.2 - 83.7%],0.0221,91.4,92.10,[89.7 - 94.1%],0.0949,99.65,0.19
YSMAA3_1_H1,MSK194,95.90,[93.8 - 97.3%],0.0453,98.85,95.10,[93.5 - 96.3%],0.0065,97.22,97.30,[96 - 98.2%],0.0516,99.92,0.06
YSMAA3_1_H1,P5_C4,88.90,[85.6 - 91.6%],0.0866,96.89,78.70,[75.8 - 81.4%],0.0249,89.53,90.00,[87.3 - 92.2%],0.1094,99.42,0.14
YSMAA3_1_H1,P7_C1,89.80,[86.5 - 92.3%],0.0823,97.2,81.60,[78.7 - 84.2%],0.0215,91.73,91.10,[88.5 - 93.2%],0.1020,99.55,0.07
YSMAA3_1_H1,P7_F1,90.00,[86.8 - 92.5%],0.0808,97.29,81.60,[78.8 - 84.2%],0.0214,91.76,91.30,[88.8 - 93.4%],0.1005,99.57,0.09
YSMAA3_1_H1,SB,83.20,[79.4 - 86.5%],0.1161,93.79,67.90,[64.9 - 70.7%],0.0392,74.08,83.30,[80 - 86.1%],0.1507,97.57,0.97
YSMAA3_1_H1,YSMAA1_1_C6,88.10,[84.6 - 90.9%],0.0911,96.54,81.60,[78.7 - 84.2%],0.0215,91.76,89.80,[87.1 - 92.1%],0.1106,99.39,0.03
YSMAA3_1_H1,YSMAA1_2_B7,94.70,[92.4 - 96.4%],0.0531,98.61,86.40,[83.7 - 88.6%],0.0161,94.38,95.60,[93.8 - 96.9%],0.0683,99.86,0.19
